dataset,config_a,config_b,err_a,err_b,shared,jaccard
eurosat,resnet50_imagenet_ms9,resnet50_imagenet_rgb3,30,38,21,0.4468
eurosat,resnet50_imagenet_ms9,resnet50_satlas-ms_ms9,30,23,15,0.3947
eurosat,resnet50_imagenet_ms9,resnet50_satlas-rgb_rgb3,30,40,18,0.3462
eurosat,resnet50_imagenet_ms9,resnet50_scratch_ms9,30,58,15,0.2055
eurosat,resnet50_imagenet_ms9,swin_b_imagenet_ms9,30,26,16,0.4
eurosat,resnet50_imagenet_ms9,swin_b_imagenet_rgb3,30,20,12,0.3158
eurosat,resnet50_imagenet_ms9,swin_b_satlas-ms_ms9,30,21,14,0.3784
eurosat,resnet50_imagenet_ms9,swin_b_satlas-rgb_rgb3,30,25,16,0.4103
eurosat,resnet50_imagenet_ms9,swin_b_scratch_ms9,30,99,17,0.1518
eurosat,resnet50_imagenet_rgb3,resnet50_satlas-ms_ms9,38,23,14,0.2979
eurosat,resnet50_imagenet_rgb3,resnet50_satlas-rgb_rgb3,38,40,17,0.2787
eurosat,resnet50_imagenet_rgb3,resnet50_scratch_ms9,38,58,16,0.2
eurosat,resnet50_imagenet_rgb3,swin_b_imagenet_ms9,38,26,15,0.3061
eurosat,resnet50_imagenet_rgb3,swin_b_imagenet_rgb3,38,20,15,0.3488
eurosat,resnet50_imagenet_rgb3,swin_b_satlas-ms_ms9,38,21,17,0.4048
eurosat,resnet50_imagenet_rgb3,swin_b_satlas-rgb_rgb3,38,25,20,0.4651
eurosat,resnet50_imagenet_rgb3,swin_b_scratch_ms9,38,99,20,0.1709
eurosat,resnet50_satlas-ms_ms9,resnet50_satlas-rgb_rgb3,23,40,14,0.2857
eurosat,resnet50_satlas-ms_ms9,resnet50_scratch_ms9,23,58,12,0.1739
eurosat,resnet50_satlas-ms_ms9,swin_b_imagenet_ms9,23,26,13,0.3611
eurosat,resnet50_satlas-ms_ms9,swin_b_imagenet_rgb3,23,20,11,0.3438
eurosat,resnet50_satlas-ms_ms9,swin_b_satlas-ms_ms9,23,21,11,0.3333
eurosat,resnet50_satlas-ms_ms9,swin_b_satlas-rgb_rgb3,23,25,12,0.3333
eurosat,resnet50_satlas-ms_ms9,swin_b_scratch_ms9,23,99,18,0.1731
eurosat,resnet50_satlas-rgb_rgb3,resnet50_scratch_ms9,40,58,11,0.1264
eurosat,resnet50_satlas-rgb_rgb3,swin_b_imagenet_ms9,40,26,12,0.2222
eurosat,resnet50_satlas-rgb_rgb3,swin_b_imagenet_rgb3,40,20,12,0.25
eurosat,resnet50_satlas-rgb_rgb3,swin_b_satlas-ms_ms9,40,21,11,0.22
eurosat,resnet50_satlas-rgb_rgb3,swin_b_satlas-rgb_rgb3,40,25,14,0.2745
eurosat,resnet50_satlas-rgb_rgb3,swin_b_scratch_ms9,40,99,12,0.0945
eurosat,resnet50_scratch_ms9,swin_b_imagenet_ms9,58,26,12,0.1667
eurosat,resnet50_scratch_ms9,swin_b_imagenet_rgb3,58,20,9,0.1304
eurosat,resnet50_scratch_ms9,swin_b_satlas-ms_ms9,58,21,11,0.1618
eurosat,resnet50_scratch_ms9,swin_b_satlas-rgb_rgb3,58,25,12,0.169
