config_id,resnet50_imagenet_ms9,resnet50_imagenet_ms9,resnet50_imagenet_rgb3,resnet50_imagenet_rgb3,resnet50_satlas-ms_ms9,resnet50_satlas-ms_ms9,resnet50_satlas-rgb_rgb3,resnet50_satlas-rgb_rgb3,resnet50_scratch_ms9,resnet50_scratch_ms9,swin_b_imagenet_ms9,swin_b_imagenet_ms9,swin_b_imagenet_rgb3,swin_b_imagenet_rgb3,swin_b_satlas-ms_ms9,swin_b_satlas-ms_ms9,swin_b_satlas-rgb_rgb3,swin_b_satlas-rgb_rgb3,swin_b_scratch_ms9,swin_b_scratch_ms9
stage,stage1,stage2,stage1,stage2,stage1,stage2,stage1,stage2,stage1,stage2,stage1,stage2,stage1,stage2,stage1,stage2,stage1,stage2,stage1,stage2
class_name,,,,,,,,,,,,,,,,,,,,
AnnualCrop,0.9782,0.9846,0.9797,0.9874,0.9462,0.99,0.9641,0.9807,0.653,0.9722,0.972,0.9856,0.9729,0.99,0.9778,0.9835,0.9821,0.9859,0.8711,0.9574
Forest,0.9837,0.996,0.9927,0.995,0.9877,0.9967,0.9821,0.9953,0.8451,0.993,0.9784,0.996,0.9904,0.9987,0.9858,0.9983,0.9934,0.997,0.9653,0.9884
HerbaceousVegetation,0.9588,0.9823,0.9696,0.9804,0.9199,0.9884,0.9495,0.9769,0.4562,0.9633,0.9491,0.9864,0.9658,0.9848,0.9611,0.9864,0.9703,0.9834,0.8843,0.9424
Highway,0.9253,0.986,0.9409,0.9868,0.8642,0.9861,0.872,0.9784,0.3396,0.9476,0.9233,0.9861,0.951,0.9881,0.977,0.9913,0.9621,0.9881,0.5606,0.9193
Industrial,0.9637,0.998,0.9848,0.996,0.9607,0.9952,0.9711,0.9891,0.7993,0.9763,0.9615,0.9956,0.9836,0.998,0.9924,0.9972,0.9932,0.998,0.9065,0.9592
Pasture,0.9468,0.9756,0.9514,0.9824,0.9297,0.9864,0.9427,0.9784,0.6364,0.9694,0.9428,0.9785,0.958,0.9835,0.9436,0.9823,0.9556,0.981,0.8894,0.936
PermanentCrop,0.957,0.9723,0.9535,0.9709,0.8897,0.9783,0.9133,0.9629,0.5997,0.9574,0.9508,0.976,0.944,0.9765,0.9577,0.9717,0.9557,0.9732,0.8626,0.9286
Residential,0.9844,0.9987,0.9913,0.9987,0.9737,0.9997,0.991,0.9983,0.6937,0.991,0.9814,0.999,0.9917,0.9993,0.9943,0.9997,0.9957,0.9997,0.8912,0.9783
River,0.9443,0.988,0.9257,0.9861,0.9519,0.9888,0.9047,0.982,0.848,0.9784,0.9536,0.9884,0.9526,0.9924,0.9864,0.9932,0.9709,0.9884,0.8458,0.9741
SeaLake,0.996,0.9997,0.9903,0.999,0.9993,1.0,0.9903,1.0,0.9776,0.995,0.9933,0.9983,0.9889,0.9997,1.0,1.0,1.0,0.9997,0.994,0.9977
