dataset,config_a,config_b,acc_a,acc_b,n01,n10,discordant,method,p_raw,p_holm
eurosat,resnet50_imagenet_ms9,resnet50_imagenet_rgb3,0.9889,0.9859,17,9,26,chi2,0.169811,1.0
eurosat,resnet50_imagenet_ms9,resnet50_satlas-ms_ms9,0.9889,0.9915,8,15,23,exact,0.21004,1.0
eurosat,resnet50_imagenet_ms9,resnet50_satlas-rgb_rgb3,0.9889,0.9852,22,12,34,chi2,0.122713,1.0
eurosat,resnet50_imagenet_ms9,resnet50_scratch_ms9,0.9889,0.9785,43,15,58,chi2,0.000392,0.012158
eurosat,resnet50_imagenet_ms9,swin_b_imagenet_ms9,0.9889,0.9904,10,14,24,exact,0.541256,1.0
eurosat,resnet50_imagenet_ms9,swin_b_imagenet_rgb3,0.9889,0.9926,8,18,26,chi2,0.077556,1.0
eurosat,resnet50_imagenet_ms9,swin_b_satlas-ms_ms9,0.9889,0.9922,7,16,23,exact,0.09314,1.0
eurosat,resnet50_imagenet_ms9,swin_b_satlas-rgb_rgb3,0.9889,0.9907,9,14,23,exact,0.404873,1.0
eurosat,resnet50_imagenet_ms9,swin_b_scratch_ms9,0.9889,0.9633,82,13,95,chi2,0.0,0.0
eurosat,resnet50_imagenet_rgb3,resnet50_satlas-ms_ms9,0.9859,0.9915,9,24,33,chi2,0.014806,0.355347
eurosat,resnet50_imagenet_rgb3,resnet50_satlas-rgb_rgb3,0.9859,0.9852,23,21,44,chi2,0.880168,1.0
eurosat,resnet50_imagenet_rgb3,resnet50_scratch_ms9,0.9859,0.9785,42,22,64,chi2,0.017549,0.403626
eurosat,resnet50_imagenet_rgb3,swin_b_imagenet_ms9,0.9859,0.9904,11,23,34,chi2,0.05923,1.0
eurosat,resnet50_imagenet_rgb3,swin_b_imagenet_rgb3,0.9859,0.9926,5,23,28,chi2,0.001315,0.039448
eurosat,resnet50_imagenet_rgb3,swin_b_satlas-ms_ms9,0.9859,0.9922,4,21,25,chi2,0.001374,0.039854
eurosat,resnet50_imagenet_rgb3,swin_b_satlas-rgb_rgb3,0.9859,0.9907,5,18,23,exact,0.010622,0.265551
eurosat,resnet50_imagenet_rgb3,swin_b_scratch_ms9,0.9859,0.9633,79,18,97,chi2,0.0,0.0
eurosat,resnet50_satlas-ms_ms9,resnet50_satlas-rgb_rgb3,0.9915,0.9852,26,9,35,chi2,0.006841,0.177862
eurosat,resnet50_satlas-ms_ms9,resnet50_scratch_ms9,0.9915,0.9785,46,11,57,chi2,7e-06,0.000234
eurosat,resnet50_satlas-ms_ms9,swin_b_imagenet_ms9,0.9915,0.9904,13,10,23,exact,0.677639,1.0
eurosat,resnet50_satlas-ms_ms9,swin_b_imagenet_rgb3,0.9915,0.9926,9,12,21,exact,0.663624,1.0
eurosat,resnet50_satlas-ms_ms9,swin_b_satlas-ms_ms9,0.9915,0.9922,10,12,22,exact,0.831812,1.0
eurosat,resnet50_satlas-ms_ms9,swin_b_satlas-rgb_rgb3,0.9915,0.9907,13,11,24,exact,0.83882,1.0
eurosat,resnet50_satlas-ms_ms9,swin_b_scratch_ms9,0.9915,0.9633,81,5,86,chi2,0.0,0.0
eurosat,resnet50_satlas-rgb_rgb3,resnet50_scratch_ms9,0.9852,0.9785,47,29,76,chi2,0.051172,1.0
eurosat,resnet50_satlas-rgb_rgb3,swin_b_imagenet_ms9,0.9852,0.9904,14,28,42,chi2,0.044862,0.942108
eurosat,resnet50_satlas-rgb_rgb3,swin_b_imagenet_rgb3,0.9852,0.9926,8,28,36,chi2,0.001542,0.043175
eurosat,resnet50_satlas-rgb_rgb3,swin_b_satlas-ms_ms9,0.9852,0.9922,10,29,39,chi2,0.003948,0.106589
eurosat,resnet50_satlas-rgb_rgb3,swin_b_satlas-rgb_rgb3,0.9852,0.9907,11,26,37,chi2,0.021359,0.469888
eurosat,resnet50_satlas-rgb_rgb3,swin_b_scratch_ms9,0.9852,0.9633,87,28,115,chi2,0.0,2e-06
eurosat,resnet50_scratch_ms9,swin_b_imagenet_ms9,0.9785,0.9904,14,46,60,chi2,6.3e-05,0.002009
eurosat,resnet50_scratch_ms9,swin_b_imagenet_rgb3,0.9785,0.9926,11,49,60,chi2,2e-06,6.6e-05
eurosat,resnet50_scratch_ms9,swin_b_satlas-ms_ms9,0.9785,0.9922,10,47,57,chi2,2e-06,6.7e-05
eurosat,resnet50_scratch_ms9,swin_b_satlas-rgb_rgb3,0.9785,0.9907,13,46,59,chi2,3.1e-05,0.001054
eurosat,resnet50_scratch_ms9,swin_b_scratch_ms9,0.9785,0.9633,68,27,95,chi2,4.1e-05,0.001341
eurosat,swin_b_imagenet_ms9,swin_b_imagenet_rgb3,0.9904,0.9926,8,14,22,exact,0.286279,1.0
eurosat,swin_b_imagenet_ms9,swin_b_satlas-ms_ms9,0.9904,0.9922,8,13,21,exact,0.38331,1.0
eurosat,swin_b_imagenet_ms9,swin_b_satlas-rgb_rgb3,0.9904,0.9907,10,11,21,exact,1.0,1.0
eurosat,swin_b_imagenet_ms9,swin_b_scratch_ms9,0.9904,0.9633,81,8,89,chi2,0.0,0.0
eurosat,swin_b_imagenet_rgb3,swin_b_satlas-ms_ms9,0.9926,0.9922,10,9,19,exact,1.0,1.0
eurosat,swin_b_imagenet_rgb3,swin_b_satlas-rgb_rgb3,0.9926,0.9907,8,3,11,exact,0.226562,1.0
eurosat,swin_b_imagenet_rgb3,swin_b_scratch_ms9,0.9926,0.9633,88,9,97,chi2,0.0,0.0
eurosat,swin_b_satlas-ms_ms9,swin_b_satlas-rgb_rgb3,0.9922,0.9907,11,7,18,exact,0.480682,1.0
eurosat,swin_b_satlas-ms_ms9,swin_b_scratch_ms9,0.9922,0.9633,80,2,82,chi2,0.0,0.0
eurosat,swin_b_satlas-rgb_rgb3,swin_b_scratch_ms9,0.9907,0.9633,84,10,94,chi2,0.0,0.0
resisc45,resnet50_imagenet_rgb3,resnet50_satlas-rgb_rgb3,0.9511,0.9035,343,118,461,chi2,0.0,0.0
resisc45,resnet50_imagenet_rgb3,resnet50_scratch_rgb3,0.9511,0.6737,1381,70,1451,chi2,0.0,0.0
resisc45,resnet50_imagenet_rgb3,swin_b_imagenet_rgb3,0.9511,0.9683,65,146,211,chi2,0.0,0.0
resisc45,resnet50_imagenet_rgb3,swin_b_satlas-aerial_rgb3,0.9511,0.971,75,169,244,chi2,0.0,0.0
resisc45,resnet50_imagenet_rgb3,swin_b_satlas-rgb_rgb3,0.9511,0.9465,161,139,300,chi2,0.225346,0.450691
resisc45,resnet50_imagenet_rgb3,swin_b_scratch_rgb3,0.9511,0.5852,1782,53,1835,chi2,0.0,0.0
resisc45,resnet50_satlas-rgb_rgb3,resnet50_scratch_rgb3,0.9035,0.6737,1196,110,1306,chi2,0.0,0.0
resisc45,resnet50_satlas-rgb_rgb3,swin_b_imagenet_rgb3,0.9035,0.9683,60,366,426,chi2,0.0,0.0
resisc45,resnet50_satlas-rgb_rgb3,swin_b_satlas-aerial_rgb3,0.9035,0.971,57,376,433,chi2,0.0,0.0
resisc45,resnet50_satlas-rgb_rgb3,swin_b_satlas-rgb_rgb3,0.9035,0.9465,102,305,407,chi2,0.0,0.0
resisc45,resnet50_satlas-rgb_rgb3,swin_b_scratch_rgb3,0.9035,0.5852,1604,100,1704,chi2,0.0,0.0
resisc45,resnet50_scratch_rgb3,swin_b_imagenet_rgb3,0.6737,0.9683,42,1434,1476,chi2,0.0,0.0
resisc45,resnet50_scratch_rgb3,swin_b_satlas-aerial_rgb3,0.6737,0.971,37,1442,1479,chi2,0.0,0.0
resisc45,resnet50_scratch_rgb3,swin_b_satlas-rgb_rgb3,0.6737,0.9465,63,1352,1415,chi2,0.0,0.0
resisc45,resnet50_scratch_rgb3,swin_b_scratch_rgb3,0.6737,0.5852,783,365,1148,chi2,0.0,0.0
resisc45,swin_b_imagenet_rgb3,swin_b_satlas-aerial_rgb3,0.9683,0.971,64,77,141,chi2,0.312216,0.450691
resisc45,swin_b_imagenet_rgb3,swin_b_satlas-rgb_rgb3,0.9683,0.9465,156,53,209,chi2,0.0,0.0
resisc45,swin_b_imagenet_rgb3,swin_b_scratch_rgb3,0.9683,0.5852,1841,31,1872,chi2,0.0,0.0
resisc45,swin_b_satlas-aerial_rgb3,swin_b_satlas-rgb_rgb3,0.971,0.9465,176,60,236,chi2,0.0,0.0
resisc45,swin_b_satlas-aerial_rgb3,swin_b_scratch_rgb3,0.971,0.5852,1846,23,1869,chi2,0.0,0.0
resisc45,swin_b_satlas-rgb_rgb3,swin_b_scratch_rgb3,0.9465,0.5852,1755,48,1803,chi2,0.0,0.0
