dataset,config_id,k_shot,test_acc,macro_f1,weighted_f1,kappa,roc_auc_ovr,ece,frozen_acc,frozen_macro_f1,frozen_weighted_f1,frozen_kappa,frozen_roc_auc_ovr,frozen_ece,best_val_acc_stage1,best_val_acc_stage2
eurosat,resnet50_imagenet_ms9,10,0.8151,0.806,0.8118,0.7942,0.9773,0.1302,0.8265,0.8197,0.825,0.8069,0.984,0.0958,0.8255,0.8097
eurosat,resnet50_imagenet_ms9,100,0.953,0.9512,0.9528,0.9476,0.9982,0.0338,0.9254,0.923,0.9255,0.917,0.9967,0.0391,0.9269,0.9489
eurosat,resnet50_imagenet_ms9,25,0.8916,0.887,0.8908,0.8793,0.9912,0.0805,0.8818,0.8778,0.8813,0.8685,0.9917,0.0591,0.8864,0.888
eurosat,resnet50_imagenet_ms9,5,0.7686,0.7526,0.7607,0.7423,0.9677,0.1564,0.7501,0.7421,0.7467,0.7219,0.9703,0.06,0.7426,0.7636
eurosat,resnet50_imagenet_ms9,50,0.926,0.9232,0.9259,0.9176,0.9959,0.0512,0.9056,0.9027,0.9056,0.895,0.9947,0.0488,0.908,0.9239
eurosat,resnet50_imagenet_ms9,full,0.9887,0.9881,0.9887,0.9875,0.9997,0.0104,0.9656,0.9638,0.9656,0.9617,0.9991,0.0256,0.9652,0.9889
eurosat,resnet50_imagenet_rgb3,10,0.8046,0.7912,0.7994,0.7824,0.9758,0.1265,0.8389,0.8318,0.837,0.8207,0.9857,0.0881,0.8381,0.8015
eurosat,resnet50_imagenet_rgb3,100,0.9464,0.9444,0.9464,0.9404,0.9976,0.0372,0.9332,0.9308,0.9331,0.9256,0.997,0.0347,0.933,0.9446
eurosat,resnet50_imagenet_rgb3,25,0.8706,0.8636,0.8689,0.856,0.9891,0.0887,0.8972,0.8929,0.8967,0.8856,0.9937,0.0519,0.895,0.8731
eurosat,resnet50_imagenet_rgb3,5,0.7369,0.7146,0.7252,0.707,0.96,0.1786,0.7824,0.7717,0.7777,0.7578,0.976,0.1017,0.7762,0.7353
eurosat,resnet50_imagenet_rgb3,50,0.9179,0.9133,0.9171,0.9086,0.9952,0.0556,0.9196,0.9162,0.9194,0.9106,0.9958,0.0399,0.9182,0.9192
eurosat,resnet50_imagenet_rgb3,full,0.9887,0.9883,0.9887,0.9875,0.9994,0.0104,0.9699,0.968,0.9698,0.9664,0.9989,0.0229,0.9686,0.9881
eurosat,resnet50_satlas-ms_ms9,10,0.8478,0.8405,0.8466,0.8306,0.9836,0.1101,0.7599,0.7481,0.7578,0.7329,0.9624,0.1389,0.7559,0.8501
eurosat,resnet50_satlas-ms_ms9,100,0.9576,0.9561,0.9576,0.9528,0.9984,0.0293,0.8836,0.8795,0.8831,0.8705,0.99,0.0585,0.8827,0.9532
eurosat,resnet50_satlas-ms_ms9,25,0.9087,0.9061,0.9088,0.8984,0.9932,0.071,0.8192,0.812,0.8188,0.7989,0.977,0.109,0.815,0.9072
eurosat,resnet50_satlas-ms_ms9,5,0.7956,0.7859,0.7941,0.7726,0.9716,0.1539,0.7008,0.6832,0.6942,0.6672,0.9413,0.1087,0.699,0.7917
eurosat,resnet50_satlas-ms_ms9,50,0.932,0.93,0.9322,0.9243,0.9963,0.0507,0.8485,0.843,0.8482,0.8315,0.9846,0.0783,0.8493,0.9334
eurosat,resnet50_satlas-ms_ms9,full,0.9914,0.991,0.9914,0.9904,0.9997,0.008,0.9447,0.9423,0.9447,0.9385,0.9975,0.0345,0.944,0.9884
eurosat,resnet50_satlas-rgb_rgb3,10,0.8112,0.8012,0.8087,0.7898,0.9729,0.1376,0.7981,0.7816,0.7929,0.7752,0.9725,0.1199,0.7857,0.8066
eurosat,resnet50_satlas-rgb_rgb3,100,0.9375,0.9351,0.9374,0.9304,0.9961,0.0434,0.8981,0.893,0.8977,0.8866,0.9921,0.0571,0.8954,0.9298
eurosat,resnet50_satlas-rgb_rgb3,25,0.8823,0.8772,0.8812,0.869,0.9894,0.0901,0.8503,0.8419,0.8493,0.8334,0.9835,0.0897,0.843,0.8773
eurosat,resnet50_satlas-rgb_rgb3,5,0.7337,0.7179,0.7266,0.7034,0.9508,0.2102,0.7453,0.7287,0.7427,0.7164,0.9587,0.1118,0.7303,0.7236
eurosat,resnet50_satlas-rgb_rgb3,50,0.9081,0.9047,0.9079,0.8978,0.9932,0.0676,0.8803,0.8745,0.8802,0.8668,0.989,0.0672,0.869,0.901
eurosat,resnet50_satlas-rgb_rgb3,full,0.9849,0.9842,0.9849,0.9832,0.9996,0.0132,0.9509,0.9481,0.9507,0.9453,0.9977,0.0326,0.9536,0.9816
eurosat,resnet50_scratch_ms9,10,0.5883,0.5775,0.5836,0.5424,0.8952,0.2548,0.4258,0.3823,0.3833,0.362,0.811,0.162,0.4221,0.5826
eurosat,resnet50_scratch_ms9,100,0.7689,0.7565,0.762,0.7428,0.9658,0.0303,0.4381,0.3928,0.3957,0.3754,0.8308,0.1475,0.4331,0.765
eurosat,resnet50_scratch_ms9,25,0.6856,0.6777,0.6827,0.6504,0.938,0.1352,0.4279,0.3691,0.3725,0.363,0.8258,0.172,0.4272,0.6815
eurosat,resnet50_scratch_ms9,5,0.5244,0.5099,0.5167,0.4711,0.8598,0.3889,0.4315,0.3977,0.3969,0.3686,0.8087,0.0928,0.427,0.5185
eurosat,resnet50_scratch_ms9,50,0.7247,0.7144,0.7205,0.6938,0.9518,0.0522,0.3841,0.3306,0.3345,0.3157,0.8084,0.1645,0.3878,0.7137
eurosat,resnet50_scratch_ms9,full,0.9753,0.9744,0.9752,0.9725,0.9994,0.0122,0.7052,0.6849,0.6895,0.6719,0.9456,0.0667,0.7029,0.971
eurosat,swin_b_imagenet_ms9,10,0.8747,0.87,0.8725,0.8605,0.9879,0.0975,0.7953,0.787,0.7931,0.7722,0.9758,0.1022,0.788,0.8751
eurosat,swin_b_imagenet_ms9,100,0.9662,0.9651,0.9662,0.9624,0.999,0.0238,0.919,0.9166,0.919,0.9098,0.9952,0.0329,0.9035,0.961
eurosat,swin_b_imagenet_ms9,25,0.9319,0.9299,0.9316,0.9242,0.9964,0.0496,0.8641,0.8604,0.8642,0.8488,0.9882,0.0614,0.8554,0.9274
eurosat,swin_b_imagenet_ms9,5,0.8211,0.8185,0.8195,0.801,0.9791,0.1357,0.7202,0.7112,0.7175,0.6886,0.9569,0.1618,0.7074,0.8192
eurosat,swin_b_imagenet_ms9,50,0.9514,0.95,0.9514,0.9459,0.9979,0.0346,0.8944,0.8915,0.8945,0.8825,0.9926,0.0444,0.8825,0.9473
eurosat,swin_b_imagenet_ms9,full,0.9896,0.989,0.9896,0.9884,0.9998,0.0093,0.9623,0.9606,0.9623,0.958,0.9989,0.0229,0.9554,0.991
eurosat,swin_b_imagenet_rgb3,10,0.8759,0.8701,0.8739,0.8618,0.9899,0.0867,0.8008,0.791,0.7986,0.7783,0.9783,0.0819,0.802,0.8739
eurosat,swin_b_imagenet_rgb3,100,0.9718,0.9708,0.9718,0.9686,0.9992,0.0206,0.9287,0.9256,0.9286,0.9206,0.9962,0.0296,0.9185,0.9626
eurosat,swin_b_imagenet_rgb3,25,0.9379,0.9358,0.9375,0.9308,0.9971,0.0436,0.8768,0.8711,0.8759,0.8629,0.9906,0.0507,0.8726,0.9275
eurosat,swin_b_imagenet_rgb3,5,0.8209,0.8122,0.8175,0.8007,0.9808,0.126,0.7251,0.7119,0.7215,0.6941,0.9591,0.1352,0.722,0.8182
eurosat,swin_b_imagenet_rgb3,50,0.9573,0.956,0.9573,0.9525,0.9983,0.0307,0.9073,0.9035,0.9073,0.8969,0.9941,0.0358,0.9012,0.9477
eurosat,swin_b_imagenet_rgb3,full,0.9916,0.9911,0.9915,0.9906,0.9998,0.0078,0.9713,0.9699,0.9712,0.968,0.9991,0.019,0.962,0.9907
eurosat,swin_b_satlas-ms_ms9,10,0.9147,0.9113,0.9144,0.9051,0.9943,0.0712,0.8587,0.8513,0.857,0.8429,0.9869,0.0472,0.8543,0.9107
eurosat,swin_b_satlas-ms_ms9,100,0.9753,0.9744,0.9752,0.9725,0.9994,0.0185,0.9369,0.9343,0.9368,0.9298,0.997,0.0121,0.9317,0.9736
eurosat,swin_b_satlas-ms_ms9,25,0.9565,0.9551,0.9565,0.9516,0.9983,0.0348,0.8985,0.8944,0.8983,0.8871,0.9933,0.019,0.8937,0.953
eurosat,swin_b_satlas-ms_ms9,5,0.8623,0.8538,0.8586,0.8469,0.9853,0.1172,0.7925,0.7792,0.7882,0.7692,0.9701,0.1013,0.7924,0.8606
eurosat,swin_b_satlas-ms_ms9,50,0.9613,0.9597,0.9612,0.9569,0.9988,0.0283,0.9163,0.9124,0.916,0.9069,0.9949,0.0151,0.9107,0.9609
eurosat,swin_b_satlas-ms_ms9,full,0.9908,0.9904,0.9908,0.9898,0.9998,0.0082,0.9788,0.9776,0.9788,0.9764,0.9995,0.0074,0.9753,0.9924
eurosat,swin_b_satlas-rgb_rgb3,10,0.8814,0.8756,0.8792,0.8681,0.9909,0.0973,0.863,0.8541,0.8609,0.8475,0.988,0.0525,0.8571,0.8754
eurosat,swin_b_satlas-rgb_rgb3,100,0.9693,0.9684,0.9693,0.9658,0.9989,0.0216,0.9406,0.9375,0.9405,0.9339,0.9977,0.0093,0.933,0.9638
eurosat,swin_b_satlas-rgb_rgb3,25,0.9305,0.9279,0.9304,0.9227,0.9956,0.0539,0.9059,0.901,0.9055,0.8952,0.9943,0.0243,0.8963,0.9262
eurosat,swin_b_satlas-rgb_rgb3,5,0.8275,0.8169,0.824,0.8081,0.9749,0.1434,0.8146,0.8017,0.8115,0.7937,0.9778,0.0948,0.7974,0.8134
eurosat,swin_b_satlas-rgb_rgb3,50,0.9544,0.9528,0.9545,0.9493,0.998,0.0312,0.9254,0.9219,0.9253,0.917,0.9963,0.011,0.9155,0.9491
eurosat,swin_b_satlas-rgb_rgb3,full,0.9899,0.9894,0.9899,0.9888,0.9997,0.009,0.9793,0.9779,0.9793,0.9769,0.9995,0.0067,0.9729,0.9887
eurosat,swin_b_scratch_ms9,10,0.6169,0.6063,0.6096,0.5741,0.9103,0.1515,0.6036,0.5901,0.5944,0.5592,0.8965,0.0937,0.5912,0.6071
eurosat,swin_b_scratch_ms9,100,0.7515,0.7377,0.7416,0.7235,0.9618,0.0308,0.7068,0.6927,0.696,0.6738,0.9459,0.0484,0.6953,0.737
eurosat,swin_b_scratch_ms9,25,0.7004,0.6867,0.6901,0.6668,0.9433,0.0639,0.6598,0.6474,0.6507,0.6216,0.9237,0.032,0.6457,0.6882
eurosat,swin_b_scratch_ms9,5,0.5439,0.533,0.535,0.493,0.8707,0.3161,0.5218,0.5122,0.5154,0.4681,0.8586,0.2247,0.5196,0.5377
eurosat,swin_b_scratch_ms9,50,0.7152,0.6984,0.7028,0.6832,0.9489,0.0328,0.6736,0.6606,0.6637,0.637,0.9334,0.0545,0.6619,0.6993
eurosat,swin_b_scratch_ms9,full,0.9599,0.9581,0.9599,0.9554,0.9986,0.022,0.8753,0.8671,0.8717,0.8612,0.9877,0.0171,0.864,0.9588
resisc45,resnet50_imagenet_rgb3,10,0.7106,0.7076,0.7076,0.704,0.981,0.1325,0.7171,0.7179,0.7179,0.7106,0.9842,0.0845,0.7092,0.7015
resisc45,resnet50_imagenet_rgb3,100,0.8913,0.8913,0.8913,0.8888,0.9972,0.0776,0.8574,0.8574,0.8574,0.8542,0.9961,0.0796,0.8552,0.8871
resisc45,resnet50_imagenet_rgb3,25,0.7942,0.7932,0.7932,0.7896,0.9907,0.1162,0.7861,0.7862,0.7862,0.7812,0.9915,0.0829,0.781,0.7871
resisc45,resnet50_imagenet_rgb3,5,0.6245,0.6244,0.6244,0.6159,0.9682,0.1662,0.6304,0.6331,0.6331,0.622,0.9724,0.1135,0.6267,0.6174
resisc45,resnet50_imagenet_rgb3,50,0.8474,0.8468,0.8468,0.8439,0.9946,0.0988,0.8274,0.8275,0.8275,0.8235,0.9943,0.0818,0.8222,0.8412
resisc45,resnet50_imagenet_rgb3,full,0.954,0.954,0.954,0.9529,0.9994,0.0384,0.9097,0.9095,0.9095,0.9076,0.9985,0.0601,0.9065,0.9487
resisc45,resnet50_satlas-rgb_rgb3,10,0.4952,0.4872,0.4872,0.4837,0.9361,0.2929,0.455,0.4525,0.4525,0.4426,0.9296,0.2354,0.4514,0.4907
resisc45,resnet50_satlas-rgb_rgb3,100,0.7777,0.7767,0.7767,0.7726,0.989,0.1502,0.6629,0.6626,0.6626,0.6552,0.9758,0.1855,0.6533,0.7623
resisc45,resnet50_satlas-rgb_rgb3,25,0.621,0.6171,0.6171,0.6124,0.9663,0.2225,0.5435,0.5419,0.5419,0.5331,0.9546,0.2125,0.5424,0.6084
resisc45,resnet50_satlas-rgb_rgb3,5,0.4101,0.4011,0.4011,0.3967,0.9053,0.3593,0.3743,0.369,0.369,0.3601,0.8985,0.2775,0.3711,0.404
resisc45,resnet50_satlas-rgb_rgb3,50,0.7021,0.7001,0.7001,0.6953,0.9802,0.1889,0.6084,0.6073,0.6073,0.5995,0.9671,0.1996,0.6002,0.691
resisc45,resnet50_satlas-rgb_rgb3,full,0.9021,0.9022,0.9022,0.8999,0.998,0.0779,0.7504,0.7503,0.7503,0.7448,0.9874,0.1532,0.7442,0.8932
resisc45,resnet50_scratch_rgb3,10,0.2263,0.2079,0.2079,0.2087,0.8383,0.0671,0.0251,0.0029,0.0029,0.003,0.6031,0.0104,0.0254,0.2326
resisc45,resnet50_scratch_rgb3,100,0.4268,0.4152,0.4152,0.4138,0.934,0.0366,0.0288,0.0037,0.0037,0.0067,0.621,0.0202,0.029,0.4306
resisc45,resnet50_scratch_rgb3,25,0.2875,0.269,0.269,0.2713,0.8778,0.0345,0.0312,0.0035,0.0035,0.0092,0.6055,0.0181,0.0316,0.2904
resisc45,resnet50_scratch_rgb3,5,0.198,0.1911,0.1911,0.1797,0.8009,0.2041,0.0415,0.0101,0.0101,0.0197,0.6081,0.0162,0.0426,0.2033
resisc45,resnet50_scratch_rgb3,50,0.3465,0.3307,0.3307,0.3317,0.9092,0.0482,0.0265,0.0029,0.0029,0.0044,0.6002,0.0103,0.027,0.3523
resisc45,resnet50_scratch_rgb3,full,0.6471,0.6409,0.6409,0.6391,0.9776,0.0263,0.1143,0.0765,0.0765,0.0942,0.7187,0.0489,0.1146,0.6458
resisc45,swin_b_imagenet_rgb3,10,0.7812,0.7794,0.7794,0.7762,0.9894,0.1196,0.6943,0.6948,0.6948,0.6874,0.9824,0.0773,0.6846,0.7791
resisc45,swin_b_imagenet_rgb3,100,0.9275,0.9274,0.9274,0.9259,0.9989,0.0528,0.8617,0.8617,0.8617,0.8586,0.9966,0.0636,0.8557,0.9266
resisc45,swin_b_imagenet_rgb3,25,0.8571,0.857,0.857,0.8539,0.9955,0.085,0.777,0.777,0.777,0.7719,0.9913,0.0694,0.7705,0.8557
resisc45,swin_b_imagenet_rgb3,5,0.6837,0.682,0.682,0.6765,0.9765,0.1772,0.6048,0.6055,0.6055,0.5958,0.968,0.1359,0.5976,0.6783
resisc45,swin_b_imagenet_rgb3,50,0.8979,0.8978,0.8978,0.8956,0.9978,0.0675,0.8285,0.8285,0.8285,0.8246,0.9946,0.0665,0.8156,0.8946
resisc45,swin_b_imagenet_rgb3,full,0.9683,0.9684,0.9684,0.9676,0.9997,0.0259,0.9197,0.9196,0.9196,0.9179,0.9987,0.0448,0.9158,0.9666
resisc45,swin_b_satlas-aerial_rgb3,10,0.7622,0.7608,0.7608,0.7568,0.9893,0.1454,0.7125,0.7107,0.7107,0.7059,0.9852,0.0704,0.7074,0.7523
resisc45,swin_b_satlas-aerial_rgb3,100,0.9272,0.9272,0.9272,0.9256,0.9992,0.053,0.8837,0.8834,0.8834,0.8811,0.9979,0.036,0.8684,0.9181
resisc45,swin_b_satlas-aerial_rgb3,25,0.8422,0.842,0.842,0.8386,0.9958,0.0971,0.7903,0.7899,0.7899,0.7855,0.9928,0.0457,0.7813,0.8309
resisc45,swin_b_satlas-aerial_rgb3,5,0.6779,0.6756,0.6756,0.6706,0.9795,0.2175,0.6396,0.6378,0.6378,0.6314,0.9754,0.154,0.6348,0.6731
resisc45,swin_b_satlas-aerial_rgb3,50,0.8905,0.8903,0.8903,0.888,0.9981,0.0721,0.8419,0.8419,0.8419,0.8384,0.9959,0.0416,0.8315,0.8817
resisc45,swin_b_satlas-aerial_rgb3,full,0.9701,0.9701,0.9701,0.9694,0.9998,0.0236,0.9388,0.9388,0.9388,0.9374,0.9994,0.0233,0.9274,0.9641
resisc45,swin_b_satlas-rgb_rgb3,10,0.6276,0.6263,0.6263,0.6191,0.9716,0.2286,0.5268,0.5268,0.5268,0.516,0.9548,0.039,0.52,0.6135
resisc45,swin_b_satlas-rgb_rgb3,100,0.8795,0.8793,0.8793,0.8768,0.997,0.0871,0.7601,0.7601,0.7601,0.7546,0.9893,0.039,0.7494,0.8723
resisc45,swin_b_satlas-rgb_rgb3,25,0.7428,0.7415,0.7415,0.737,0.9875,0.1615,0.6319,0.631,0.631,0.6235,0.9747,0.0201,0.6179,0.7345
resisc45,swin_b_satlas-rgb_rgb3,5,0.5227,0.518,0.518,0.5118,0.9472,0.3411,0.4403,0.4396,0.4396,0.4276,0.9278,0.1799,0.4333,0.5163
resisc45,swin_b_satlas-rgb_rgb3,50,0.8257,0.8254,0.8254,0.8217,0.9939,0.12,0.7041,0.7034,0.7034,0.6974,0.9837,0.0299,0.6887,0.8076
resisc45,swin_b_satlas-rgb_rgb3,full,0.9485,0.9485,0.9485,0.9474,0.9995,0.0415,0.8473,0.8471,0.8471,0.8438,0.9956,0.0455,0.8386,0.9495
resisc45,swin_b_scratch_rgb3,10,0.2275,0.2065,0.2065,0.21,0.8365,0.1421,0.2379,0.2213,0.2213,0.2206,0.8323,0.054,0.2393,0.2283
resisc45,swin_b_scratch_rgb3,100,0.3614,0.342,0.342,0.3469,0.9201,0.0226,0.3829,0.3693,0.3693,0.3689,0.913,0.0218,0.3818,0.3588
resisc45,swin_b_scratch_rgb3,25,0.2676,0.2408,0.2408,0.251,0.8729,0.0609,0.2867,0.2689,0.2689,0.2705,0.8697,0.0213,0.2869,0.2681
resisc45,swin_b_scratch_rgb3,5,0.2088,0.2003,0.2003,0.1909,0.8054,0.3717,0.208,0.197,0.197,0.19,0.801,0.1854,0.2091,0.2126
resisc45,swin_b_scratch_rgb3,50,0.3026,0.2803,0.2803,0.2868,0.8964,0.0301,0.3393,0.324,0.324,0.3243,0.8948,0.0186,0.333,0.3002
resisc45,swin_b_scratch_rgb3,full,0.5933,0.5871,0.5871,0.5841,0.9716,0.0186,0.49,0.4801,0.4801,0.4784,0.9466,0.0209,0.4898,0.588
