dataset,config_id,k_shot,test_acc,macro_f1,weighted_f1,kappa,roc_auc_ovr,ece,frozen_acc,frozen_macro_f1,frozen_weighted_f1,frozen_kappa,frozen_roc_auc_ovr,frozen_ece,best_val_acc_stage1,best_val_acc_stage2
eurosat,resnet50_imagenet_ms9,10,0.0207,0.0231,0.0226,0.023,0.0039,0.0119,0.0087,0.0084,0.0083,0.0097,0.0013,0.0072,0.0095,0.0188
eurosat,resnet50_imagenet_ms9,100,0.0031,0.0032,0.0032,0.0034,0.0003,0.0026,0.0021,0.0022,0.0022,0.0023,0.0003,0.0033,0.0045,0.0024
eurosat,resnet50_imagenet_ms9,25,0.0068,0.0075,0.0071,0.0076,0.0015,0.0041,0.0054,0.0052,0.0053,0.006,0.0014,0.0076,0.0069,0.0074
eurosat,resnet50_imagenet_ms9,5,0.0148,0.0143,0.0155,0.0165,0.0058,0.0076,0.0363,0.0376,0.0372,0.0401,0.0048,0.0538,0.0392,0.0183
eurosat,resnet50_imagenet_ms9,50,0.003,0.0031,0.003,0.0034,0.0007,0.0031,0.003,0.0031,0.003,0.0033,0.0005,0.0052,0.0052,0.0041
eurosat,resnet50_imagenet_ms9,full,0.0012,0.0012,0.0012,0.0013,0.0001,0.0017,0.0021,0.0023,0.0021,0.0023,0.0001,0.002,0.0011,0.0004
eurosat,resnet50_imagenet_rgb3,10,0.0231,0.0251,0.0241,0.0257,0.005,0.0138,0.0181,0.0189,0.0182,0.0202,0.0041,0.0142,0.0152,0.0173
eurosat,resnet50_imagenet_rgb3,100,0.0049,0.0052,0.005,0.0055,0.0002,0.0042,0.0028,0.0027,0.0028,0.0031,0.0001,0.0027,0.0025,0.0032
eurosat,resnet50_imagenet_rgb3,25,0.0176,0.0182,0.0182,0.0196,0.0024,0.0129,0.0077,0.0075,0.0076,0.0085,0.0004,0.0084,0.0056,0.0136
eurosat,resnet50_imagenet_rgb3,5,0.0243,0.0256,0.0258,0.0269,0.0054,0.0203,0.0237,0.0238,0.0242,0.0262,0.0032,0.0414,0.026,0.0197
eurosat,resnet50_imagenet_rgb3,50,0.0086,0.0093,0.0088,0.0096,0.0008,0.0076,0.0037,0.0037,0.0037,0.0042,0.0003,0.0026,0.0048,0.0042
eurosat,resnet50_imagenet_rgb3,full,0.0016,0.0018,0.0016,0.0018,0.0001,0.0018,0.0011,0.0012,0.0011,0.0012,0.0001,0.0014,0.0008,0.0013
eurosat,resnet50_satlas-ms_ms9,10,0.0138,0.0146,0.0147,0.0154,0.0036,0.0124,0.0082,0.0089,0.0085,0.0092,0.0036,0.0261,0.0088,0.0149
eurosat,resnet50_satlas-ms_ms9,100,0.0062,0.0065,0.0062,0.0069,0.0003,0.0057,0.0078,0.0088,0.008,0.0086,0.001,0.0064,0.0041,0.0056
eurosat,resnet50_satlas-ms_ms9,25,0.0068,0.0064,0.0068,0.0075,0.0011,0.0069,0.0108,0.0118,0.0108,0.012,0.002,0.0164,0.0076,0.0058
eurosat,resnet50_satlas-ms_ms9,5,0.0333,0.031,0.0303,0.0369,0.009,0.025,0.0225,0.0304,0.0321,0.025,0.0055,0.0913,0.0209,0.031
eurosat,resnet50_satlas-ms_ms9,50,0.007,0.0072,0.0069,0.0077,0.0009,0.0077,0.0083,0.0088,0.0085,0.0092,0.0017,0.0179,0.0074,0.0048
eurosat,resnet50_satlas-ms_ms9,full,0.0006,0.0007,0.0006,0.0007,0.0001,0.0005,0.0016,0.0018,0.0017,0.0018,0.0001,0.0016,0.0014,0.0009
eurosat,resnet50_satlas-rgb_rgb3,10,0.03,0.0297,0.0292,0.0334,0.0056,0.0194,0.0073,0.0066,0.0054,0.0081,0.0024,0.0069,0.0057,0.0239
eurosat,resnet50_satlas-rgb_rgb3,100,0.0049,0.0051,0.005,0.0054,0.0004,0.0043,0.0029,0.0027,0.0026,0.0033,0.0002,0.0046,0.003,0.0029
eurosat,resnet50_satlas-rgb_rgb3,25,0.0072,0.0081,0.0076,0.008,0.0013,0.0061,0.0075,0.0083,0.0076,0.0084,0.001,0.0041,0.0079,0.0053
eurosat,resnet50_satlas-rgb_rgb3,5,0.0205,0.0224,0.0225,0.0228,0.0055,0.0204,0.0077,0.0081,0.0071,0.0085,0.0052,0.082,0.0086,0.0189
eurosat,resnet50_satlas-rgb_rgb3,50,0.0033,0.0028,0.0031,0.0036,0.0003,0.0031,0.003,0.0035,0.0031,0.0033,0.0007,0.0051,0.0039,0.0033
eurosat,resnet50_satlas-rgb_rgb3,full,0.0024,0.0024,0.0024,0.0027,0.0001,0.0018,0.0016,0.0017,0.0016,0.0018,0.0001,0.0027,0.0004,0.0008
eurosat,resnet50_scratch_ms9,10,0.024,0.0243,0.0249,0.0266,0.0048,0.0251,0.023,0.0275,0.0274,0.0245,0.0133,0.0635,0.0254,0.0211
eurosat,resnet50_scratch_ms9,100,0.013,0.0125,0.0129,0.0145,0.0023,0.0028,0.015,0.0164,0.0171,0.0164,0.0128,0.036,0.0138,0.0101
eurosat,resnet50_scratch_ms9,25,0.0042,0.0036,0.0041,0.0047,0.0027,0.0195,0.0187,0.0314,0.0308,0.0216,0.0018,0.0438,0.0132,0.011
eurosat,resnet50_scratch_ms9,5,0.0386,0.0344,0.0352,0.043,0.0113,0.0465,0.03,0.03,0.0326,0.0328,0.0201,0.0367,0.0371,0.0424
eurosat,resnet50_scratch_ms9,50,0.0178,0.0169,0.0163,0.0198,0.003,0.0175,0.0398,0.0487,0.0475,0.0439,0.0149,0.0237,0.0379,0.0091
eurosat,resnet50_scratch_ms9,full,0.0028,0.003,0.0028,0.0031,0.0,0.0017,0.026,0.0296,0.0299,0.0289,0.0085,0.0144,0.0222,0.0015
eurosat,swin_b_imagenet_ms9,10,0.0257,0.0268,0.0274,0.0286,0.0032,0.0229,0.0086,0.0095,0.0085,0.0095,0.003,0.0049,0.0088,0.0232
eurosat,swin_b_imagenet_ms9,100,0.0041,0.0042,0.0041,0.0045,0.0001,0.0036,0.0044,0.0045,0.0045,0.0049,0.0004,0.0031,0.0045,0.0031
eurosat,swin_b_imagenet_ms9,25,0.0061,0.0062,0.0063,0.0068,0.0006,0.0043,0.0096,0.0096,0.0096,0.0107,0.0014,0.0112,0.008,0.0026
eurosat,swin_b_imagenet_ms9,5,0.0125,0.0105,0.0133,0.014,0.0035,0.0116,0.0224,0.0174,0.0187,0.0248,0.0066,0.027,0.0288,0.0111
eurosat,swin_b_imagenet_ms9,50,0.004,0.0039,0.0039,0.0044,0.0002,0.0048,0.0062,0.0063,0.0063,0.0069,0.0011,0.0045,0.004,0.0028
eurosat,swin_b_imagenet_ms9,full,0.0017,0.0018,0.0017,0.0019,0.0001,0.0013,0.0027,0.0029,0.0027,0.003,0.0001,0.0013,0.0012,0.0009
eurosat,swin_b_imagenet_rgb3,10,0.0124,0.0137,0.0131,0.0138,0.0013,0.0101,0.0052,0.0054,0.0042,0.0056,0.0015,0.0157,0.0062,0.0089
eurosat,swin_b_imagenet_rgb3,100,0.0024,0.0025,0.0024,0.0027,0.0001,0.0015,0.0062,0.0066,0.0061,0.0069,0.0006,0.0037,0.0038,0.0027
eurosat,swin_b_imagenet_rgb3,25,0.0122,0.0123,0.0121,0.0136,0.0009,0.0094,0.0084,0.0091,0.0084,0.0093,0.0009,0.0051,0.008,0.0124
eurosat,swin_b_imagenet_rgb3,5,0.03,0.0355,0.036,0.0333,0.0046,0.0289,0.0165,0.019,0.0188,0.0182,0.0053,0.0263,0.0138,0.0246
eurosat,swin_b_imagenet_rgb3,50,0.0032,0.0031,0.0031,0.0036,0.0005,0.0038,0.003,0.0033,0.0029,0.0033,0.0003,0.0021,0.0044,0.0044
eurosat,swin_b_imagenet_rgb3,full,0.0011,0.0011,0.0011,0.0012,0.0001,0.001,0.0019,0.002,0.0019,0.0021,0.0,0.0019,0.0007,0.0009
eurosat,swin_b_satlas-ms_ms9,10,0.0055,0.006,0.0046,0.0061,0.0012,0.004,0.0169,0.0175,0.0186,0.0187,0.0015,0.0202,0.0165,0.0049
eurosat,swin_b_satlas-ms_ms9,100,0.0021,0.0021,0.0021,0.0023,0.0001,0.0031,0.0032,0.0034,0.0034,0.0036,0.0003,0.0023,0.0021,0.0019
