dataset,config_id,k_shot,frozen_acc,test_acc,gap
eurosat,resnet50_imagenet_ms9,10,0.8265,0.8151,-0.0114
eurosat,resnet50_imagenet_ms9,100,0.9254,0.953,0.0276
eurosat,resnet50_imagenet_ms9,25,0.8818,0.8916,0.0098
eurosat,resnet50_imagenet_ms9,5,0.7501,0.7686,0.0185
eurosat,resnet50_imagenet_ms9,50,0.9056,0.926,0.0204
eurosat,resnet50_imagenet_ms9,full,0.9656,0.9887,0.0231
eurosat,resnet50_imagenet_rgb3,10,0.8389,0.8046,-0.0343
eurosat,resnet50_imagenet_rgb3,100,0.9332,0.9464,0.0132
eurosat,resnet50_imagenet_rgb3,25,0.8972,0.8706,-0.0266
eurosat,resnet50_imagenet_rgb3,5,0.7824,0.7369,-0.0455
eurosat,resnet50_imagenet_rgb3,50,0.9196,0.9179,-0.0017
eurosat,resnet50_imagenet_rgb3,full,0.9699,0.9887,0.0188
eurosat,resnet50_satlas-ms_ms9,10,0.7599,0.8478,0.0879
eurosat,resnet50_satlas-ms_ms9,100,0.8836,0.9576,0.074
eurosat,resnet50_satlas-ms_ms9,25,0.8192,0.9087,0.0895
eurosat,resnet50_satlas-ms_ms9,5,0.7008,0.7956,0.0948
eurosat,resnet50_satlas-ms_ms9,50,0.8485,0.932,0.0835
eurosat,resnet50_satlas-ms_ms9,full,0.9447,0.9914,0.0467
eurosat,resnet50_satlas-rgb_rgb3,10,0.7981,0.8112,0.0131
eurosat,resnet50_satlas-rgb_rgb3,100,0.8981,0.9375,0.0394
eurosat,resnet50_satlas-rgb_rgb3,25,0.8503,0.8823,0.032
eurosat,resnet50_satlas-rgb_rgb3,5,0.7453,0.7337,-0.0116
eurosat,resnet50_satlas-rgb_rgb3,50,0.8803,0.9081,0.0278
eurosat,resnet50_satlas-rgb_rgb3,full,0.9509,0.9849,0.034
eurosat,resnet50_scratch_ms9,10,0.4258,0.5883,0.1625
eurosat,resnet50_scratch_ms9,100,0.4381,0.7689,0.3308
eurosat,resnet50_scratch_ms9,25,0.4279,0.6856,0.2577
eurosat,resnet50_scratch_ms9,5,0.4315,0.5244,0.0929
eurosat,resnet50_scratch_ms9,50,0.3841,0.7247,0.3406
eurosat,resnet50_scratch_ms9,full,0.7052,0.9753,0.2701
eurosat,swin_b_imagenet_ms9,10,0.7953,0.8747,0.0794
eurosat,swin_b_imagenet_ms9,100,0.919,0.9662,0.0472
eurosat,swin_b_imagenet_ms9,25,0.8641,0.9319,0.0678
eurosat,swin_b_imagenet_ms9,5,0.7202,0.8211,0.1009
eurosat,swin_b_imagenet_ms9,50,0.8944,0.9514,0.057
eurosat,swin_b_imagenet_ms9,full,0.9623,0.9896,0.0273
eurosat,swin_b_imagenet_rgb3,10,0.8008,0.8759,0.0751
eurosat,swin_b_imagenet_rgb3,100,0.9287,0.9718,0.0431
eurosat,swin_b_imagenet_rgb3,25,0.8768,0.9379,0.0611
eurosat,swin_b_imagenet_rgb3,5,0.7251,0.8209,0.0958
eurosat,swin_b_imagenet_rgb3,50,0.9073,0.9573,0.05
eurosat,swin_b_imagenet_rgb3,full,0.9713,0.9916,0.0203
eurosat,swin_b_satlas-ms_ms9,10,0.8587,0.9147,0.056
eurosat,swin_b_satlas-ms_ms9,100,0.9369,0.9753,0.0384
eurosat,swin_b_satlas-ms_ms9,25,0.8985,0.9565,0.058
eurosat,swin_b_satlas-ms_ms9,5,0.7925,0.8623,0.0698
eurosat,swin_b_satlas-ms_ms9,50,0.9163,0.9613,0.045
eurosat,swin_b_satlas-ms_ms9,full,0.9788,0.9908,0.012
eurosat,swin_b_satlas-rgb_rgb3,10,0.863,0.8814,0.0184
eurosat,swin_b_satlas-rgb_rgb3,100,0.9406,0.9693,0.0287
eurosat,swin_b_satlas-rgb_rgb3,25,0.9059,0.9305,0.0246
eurosat,swin_b_satlas-rgb_rgb3,5,0.8146,0.8275,0.0129
eurosat,swin_b_satlas-rgb_rgb3,50,0.9254,0.9544,0.029
eurosat,swin_b_satlas-rgb_rgb3,full,0.9793,0.9899,0.0106
eurosat,swin_b_scratch_ms9,10,0.6036,0.6169,0.0133
eurosat,swin_b_scratch_ms9,100,0.7068,0.7515,0.0447
eurosat,swin_b_scratch_ms9,25,0.6598,0.7004,0.0406
eurosat,swin_b_scratch_ms9,5,0.5218,0.5439,0.0221
eurosat,swin_b_scratch_ms9,50,0.6736,0.7152,0.0416
eurosat,swin_b_scratch_ms9,full,0.8753,0.9599,0.0846
resisc45,resnet50_imagenet_rgb3,10,0.7171,0.7106,-0.0065
resisc45,resnet50_imagenet_rgb3,100,0.8574,0.8913,0.0339
resisc45,resnet50_imagenet_rgb3,25,0.7861,0.7942,0.0081
resisc45,resnet50_imagenet_rgb3,5,0.6304,0.6245,-0.0059
resisc45,resnet50_imagenet_rgb3,50,0.8274,0.8474,0.02
resisc45,resnet50_imagenet_rgb3,full,0.9097,0.954,0.0443
resisc45,resnet50_satlas-rgb_rgb3,10,0.455,0.4952,0.0402
resisc45,resnet50_satlas-rgb_rgb3,100,0.6629,0.7777,0.1148
resisc45,resnet50_satlas-rgb_rgb3,25,0.5435,0.621,0.0775
resisc45,resnet50_satlas-rgb_rgb3,5,0.3743,0.4101,0.0358
resisc45,resnet50_satlas-rgb_rgb3,50,0.6084,0.7021,0.0937
resisc45,resnet50_satlas-rgb_rgb3,full,0.7504,0.9021,0.1517
resisc45,resnet50_scratch_rgb3,10,0.0251,0.2263,0.2012
resisc45,resnet50_scratch_rgb3,100,0.0288,0.4268,0.398
resisc45,resnet50_scratch_rgb3,25,0.0312,0.2875,0.2563
resisc45,resnet50_scratch_rgb3,5,0.0415,0.198,0.1565
resisc45,resnet50_scratch_rgb3,50,0.0265,0.3465,0.32
resisc45,resnet50_scratch_rgb3,full,0.1143,0.6471,0.5328
resisc45,swin_b_imagenet_rgb3,10,0.6943,0.7812,0.0869
resisc45,swin_b_imagenet_rgb3,100,0.8617,0.9275,0.0658
resisc45,swin_b_imagenet_rgb3,25,0.777,0.8571,0.0801
resisc45,swin_b_imagenet_rgb3,5,0.6048,0.6837,0.0789
resisc45,swin_b_imagenet_rgb3,50,0.8285,0.8979,0.0694
resisc45,swin_b_imagenet_rgb3,full,0.9197,0.9683,0.0486
resisc45,swin_b_satlas-aerial_rgb3,10,0.7125,0.7622,0.0497
