dataset,split,class_index,class_name,n_images
eurosat,train,0,AnnualCrop,2100
eurosat,train,1,Forest,2100
eurosat,train,2,HerbaceousVegetation,2100
eurosat,train,3,Highway,1750
eurosat,train,4,Industrial,1750
eurosat,train,5,Pasture,1400
eurosat,train,6,PermanentCrop,1750
eurosat,train,7,Residential,2100
eurosat,train,8,River,1750
eurosat,train,9,SeaLake,2100
eurosat,val,0,AnnualCrop,600
eurosat,val,1,Forest,600
eurosat,val,2,HerbaceousVegetation,600
eurosat,val,3,Highway,500
eurosat,val,4,Industrial,500
eurosat,val,5,Pasture,400
eurosat,val,6,PermanentCrop,500
eurosat,val,7,Residential,600
eurosat,val,8,River,500
eurosat,val,9,SeaLake,600
eurosat,test,0,AnnualCrop,300
eurosat,test,1,Forest,300
eurosat,test,2,HerbaceousVegetation,300
eurosat,test,3,Highway,250
eurosat,test,4,Industrial,250
eurosat,test,5,Pasture,200
eurosat,test,6,PermanentCrop,250
eurosat,test,7,Residential,300
eurosat,test,8,River,250
eurosat,test,9,SeaLake,300
resisc45,train,0,airplane,490
resisc45,train,1,airport,490
resisc45,train,2,baseball_diamond,490
resisc45,train,3,basketball_court,490
resisc45,train,4,beach,490
resisc45,train,5,bridge,490
resisc45,train,6,chaparral,490
resisc45,train,7,church,490
resisc45,train,8,circular_farmland,490
resisc45,train,9,cloud,490
resisc45,train,10,commercial_area,490
resisc45,train,11,dense_residential,490
resisc45,train,12,desert,490
resisc45,train,13,forest,490
resisc45,train,14,freeway,490
resisc45,train,15,golf_course,490
resisc45,train,16,ground_track_field,490
resisc45,train,17,harbor,490
resisc45,train,18,industrial_area,490
resisc45,train,19,intersection,490
resisc45,train,20,island,490
resisc45,train,21,lake,490
resisc45,train,22,meadow,490
resisc45,train,23,medium_residential,490
resisc45,train,24,mobile_home_park,490
resisc45,train,25,mountain,490
resisc45,train,26,overpass,490
resisc45,train,27,palace,490
resisc45,train,28,parking_lot,490
resisc45,train,29,railway,490
resisc45,train,30,railway_station,490
resisc45,train,31,rectangular_farmland,490
resisc45,train,32,river,490
resisc45,train,33,roundabout,490
resisc45,train,34,runway,490
resisc45,train,35,sea_ice,490
resisc45,train,36,ship,490
resisc45,train,37,snowberg,490
resisc45,train,38,sparse_residential,490
resisc45,train,39,stadium,490
resisc45,train,40,storage_tank,490
resisc45,train,41,tennis_court,490
resisc45,train,42,terrace,490
resisc45,train,43,thermal_power_station,490
resisc45,train,44,wetland,490
resisc45,val,0,airplane,105
resisc45,val,1,airport,105
resisc45,val,2,baseball_diamond,105
resisc45,val,3,basketball_court,105
resisc45,val,4,beach,105
resisc45,val,5,bridge,105
resisc45,val,6,chaparral,105
resisc45,val,7,church,105
resisc45,val,8,circular_farmland,105
resisc45,val,9,cloud,105
resisc45,val,10,commercial_area,105
resisc45,val,11,dense_residential,105
resisc45,val,12,desert,105
resisc45,val,13,forest,105
resisc45,val,14,freeway,105
resisc45,val,15,golf_course,105
resisc45,val,16,ground_track_field,105
resisc45,val,17,harbor,105
resisc45,val,18,industrial_area,105
resisc45,val,19,intersection,105
resisc45,val,20,island,105
resisc45,val,21,lake,105
resisc45,val,22,meadow,105
resisc45,val,23,medium_residential,105
resisc45,val,24,mobile_home_park,105
resisc45,val,25,mountain,105
resisc45,val,26,overpass,105
resisc45,val,27,palace,105
resisc45,val,28,parking_lot,105
resisc45,val,29,railway,105
resisc45,val,30,railway_station,105
resisc45,val,31,rectangular_farmland,105
resisc45,val,32,river,105
resisc45,val,33,roundabout,105
resisc45,val,34,runway,105
resisc45,val,35,sea_ice,105
resisc45,val,36,ship,105
resisc45,val,37,snowberg,105
resisc45,val,38,sparse_residential,105
resisc45,val,39,stadium,105
resisc45,val,40,storage_tank,105
resisc45,val,41,tennis_court,105
resisc45,val,42,terrace,105
resisc45,val,43,thermal_power_station,105
resisc45,val,44,wetland,105
resisc45,test,0,airplane,105
resisc45,test,1,airport,105
resisc45,test,2,baseball_diamond,105
resisc45,test,3,basketball_court,105
resisc45,test,4,beach,105
resisc45,test,5,bridge,105
resisc45,test,6,chaparral,105
resisc45,test,7,church,105
resisc45,test,8,circular_farmland,105
resisc45,test,9,cloud,105
resisc45,test,10,commercial_area,105
resisc45,test,11,dense_residential,105
resisc45,test,12,desert,105
resisc45,test,13,forest,105
resisc45,test,14,freeway,105
resisc45,test,15,golf_course,105
resisc45,test,16,ground_track_field,105
resisc45,test,17,harbor,105
resisc45,test,18,industrial_area,105
resisc45,test,19,intersection,105
resisc45,test,20,island,105
resisc45,test,21,lake,105
resisc45,test,22,meadow,105
resisc45,test,23,medium_residential,105
resisc45,test,24,mobile_home_park,105
resisc45,test,25,mountain,105
resisc45,test,26,overpass,105
resisc45,test,27,palace,105
resisc45,test,28,parking_lot,105
resisc45,test,29,railway,105
resisc45,test,30,railway_station,105
resisc45,test,31,rectangular_farmland,105
resisc45,test,32,river,105
resisc45,test,33,roundabout,105
resisc45,test,34,runway,105
resisc45,test,35,sea_ice,105
resisc45,test,36,ship,105
resisc45,test,37,snowberg,105
resisc45,test,38,sparse_residential,105
resisc45,test,39,stadium,105
resisc45,test,40,storage_tank,105
resisc45,test,41,tennis_court,105
resisc45,test,42,terrace,105
resisc45,test,43,thermal_power_station,105
resisc45,test,44,wetland,105
