run_key,dataset,config_id,backbone,pretraining,channel_mode,satlas_variant,swin_arch,tier,augment,k_shot,seed,test_acc,macro_f1,weighted_f1,kappa,roc_auc_ovr,ece,frozen_acc,frozen_macro_f1,frozen_weighted_f1,frozen_kappa,frozen_roc_auc_ovr,frozen_ece,epochs_stage1,epochs_stage2,steps_stage1,steps_stage2,steps_per_epoch_s1,steps_per_epoch_s2,min_steps_stage1,min_steps_stage2,floor_engaged_s1,floor_engaged_s2,drop_last,best_val_acc_stage1,best_val_acc_stage2,best_epoch_stage1,best_epoch_stage2,train_seconds,eval_seconds,stage1_train_seconds,stage2_train_seconds,total_seconds,n_train_pool,n_train_used,n_val,n_test,split_hash_train,split_hash_val,split_hash_test,gpu_name,protocol_fp,backbone_fp,feat_cache_hit,amp_dtype,torch_version,timestamp
eurosat|resnet50_satlas-ms_ms9|5|42,eurosat,resnet50_satlas-ms_ms9,resnet50,satlas,ms9,ms,,core,False,5,42,0.8285185185185185,0.8212307106769663,0.8270912706074116,0.809067790785585,0.9820583901360544,0.12637715806563696,0.7129629629629629,0.6933440201125812,0.7050231298970153,0.6804636140825069,0.9492843511337867,0.042517097813111776,150,100,300,200,2,2,300,200,True,True,False,0.7144444444444444,0.822962962962963,9,19,40.35,1.18,11.84,28.51,47.09,18900,50,5400,2700,e5086fc1db7ca6bb,960ff2e6743af984,88c77e93aae99847,NVIDIA A100-SXM4-80GB,6e223e81e1ad,da58b6a4a0cf9eff,False,bfloat16,2.11.0+cu128,2026-08-18T03:46:51
eurosat|resnet50_satlas-ms_ms9|10|42,eurosat,resnet50_satlas-ms_ms9,resnet50,satlas,ms9,ms,,core,False,10,42,0.8462962962962963,0.8416065031213877,0.8456958888791878,0.8290030903055969,0.9839028459750567,0.10839448236756855,0.7548148148148148,0.7406345291616981,0.7495170002489024,0.7271915565832552,0.9598067926303854,0.15650434258911347,75,50,300,200,4,4,300,200,True,True,False,0.7501851851851852,0.8462962962962963,69,44,30.34,1.25,1.63,28.71,35.38,18900,100,5400,2700,e5086fc1db7ca6bb,960ff2e6743af984,88c77e93aae99847,NVIDIA A100-SXM4-80GB,6e223e81e1ad,da58b6a4a0cf9eff,True,bfloat16,2.11.0+cu128,2026-08-18T03:47:27
eurosat|swin_b_imagenet_rgb3|5|42,eurosat,swin_b_imagenet_rgb3,swin_b,imagenet,rgb3,,swin_v2_b,core,False,5,42,0.8214814814814815,0.8154133661468196,0.8213518111445355,0.8013781735766122,0.9789455543650792,0.12305262805135164,0.7251851851851852,0.7082180805565319,0.7182639286799436,0.6942307692307692,0.9585097937641722,0.15257562217337112,150,100,300,200,2,2,300,200,True,True,False,0.7138888888888889,0.8288888888888889,9,29,165.71,4.56,43.73,121.98,174.24,18900,50,5400,2700,e5086fc1db7ca6bb,960ff2e6743af984,88c77e93aae99847,NVIDIA A100-SXM4-80GB,6e223e81e1ad,88912e7391ce9f7b,False,bfloat16,2.11.0+cu128,2026-08-18T03:50:21
eurosat|swin_b_imagenet_rgb3|10|42,eurosat,swin_b_imagenet_rgb3,swin_b,imagenet,rgb3,,swin_v2_b,core,False,10,42,0.8844444444444445,0.8773851592341005,0.8807763378550002,0.8712615572705739,0.9911911908163263,0.07773405724101595,0.8096296296296296,0.7999173359853823,0.8054655667200253,0.7878727664582792,0.9800945817460317,0.0836752147199931,75,50,300,200,4,4,300,200,True,True,False,0.8068518518518518,0.8807407407407407,24,19,124.36,4.62,1.57,122.79,131.23,18900,100,5400,2700,e5086fc1db7ca6bb,960ff2e6743af984,88c77e93aae99847,NVIDIA A100-SXM4-80GB,6e223e81e1ad,88912e7391ce9f7b,True,bfloat16,2.11.0+cu128,2026-08-18T03:52:33
eurosat|resnet50_satlas-ms_ms9|5|123,eurosat,resnet50_satlas-ms_ms9,resnet50,satlas,ms9,ms,,core,False,5,123,0.8096296296296296,0.7926787359697621,0.8031547463579446,0.78805580372483,0.9675222213718822,0.15060845954550636,0.7218518518518519,0.7101192393367372,0.7210445045358495,0.690389665913394,0.9426444249433106,0.0365344888413394,150,100,300,200,2,2,300,200,True,True,False,0.7157407407407408,0.7996296296296296,9,49,30.13,1.22,1.67,28.45,34.93,18900,50,5400,2700,e5086fc1db7ca6bb,960ff2e6743af984,88c77e93aae99847,NVIDIA A100-SXM4-80GB,6e223e81e1ad,da58b6a4a0cf9eff,True,bfloat16,2.11.0+cu128,2026-08-18T03:56:20
eurosat|swin_b_satlas-ms_ms9|5|42,eurosat,swin_b_satlas-ms_ms9,swin_b,satlas,ms9,ms,swin_v2_b,core,False,5,42,0.8529629629629629,0.8422322643338847,0.8469582599071809,0.8364672408137734,0.9868292045351474,0.12375244467346755,0.7918518518518518,0.7766413397905063,0.7843767833771564,0.7683482562000504,0.9730474727891156,0.10998520648037946,150,100,300,200,2,2,300,200,True,True,False,0.7887037037037037,0.8522222222222222,49,39,164.41,4.61,43.01,121.4,176.45,18900,50,5400,2700,e5086fc1db7ca6bb,960ff2e6743af984,88c77e93aae99847,NVIDIA A100-SXM4-80GB,6e223e81e1ad,a9bb67424136c40c,False,bfloat16,2.11.0+cu128,2026-08-18T03:59:16
eurosat|swin_b_satlas-ms_ms9|5|123,eurosat,swin_b_satlas-ms_ms9,swin_b,satlas,ms9,ms,swin_v2_b,core,False,5,123,0.8833333333333333,0.8789966928934756,0.881512836543542,0.8701596097918431,0.9888594339569161,0.1004758628209432,0.7933333333333333,0.7839264381719693,0.7908414768608856,0.7700391510405935,0.9727454045918366,0.1190928827281351,150,100,300,200,2,2,300,200,True,True,False,0.7937037037037037,0.8796296296296297,129,79,123.15,4.69,1.62,121.53,134.5,18900,50,5400,2700,e5086fc1db7ca6bb,960ff2e6743af984,88c77e93aae99847,NVIDIA A100-SXM4-80GB,6e223e81e1ad,a9bb67424136c40c,True,bfloat16,2.11.0+cu128,2026-08-18T04:01:31
eurosat|resnet50_imagenet_rgb3|5|42,eurosat,resnet50_imagenet_rgb3,resnet50,imagenet,rgb3,,,core,False,5,42,0.7666666666666667,0.7433116204341688,0.7557759215439626,0.7398784264250488,0.9664123893424035,0.1614907850380297,0.7892592592592592,0.7753042700195023,0.7821201466121046,0.7652694061833932,0.9758453760204082,0.10853799713982476,150,100,300,200,2,2,300,200,True,True,False,0.7792592592592592,0.7633333333333333,19,99,42.6,1.25,12.66,29.93,45.2,18900,50,5400,2700,e5086fc1db7ca6bb,960ff2e6743af984,88c77e93aae99847,NVIDIA A100-SXM4-80GB,6e223e81e1ad,8dbf1f2f4e43febd,False,bfloat16,2.11.0+cu128,2026-08-18T04:02:17
eurosat|resnet50_imagenet_rgb3|5|123,eurosat,resnet50_imagenet_rgb3,resnet50,imagenet,rgb3,,,core,False,5,123,0.7559259259259259,0.736096393576414,0.7449354061301439,0.7283366286748146,0.9648202640589568,0.156815072827869,0.8051851851851852,0.793151915063928,0.800523887468849,0.783205361095422,0.9792091551020408,0.1097720147282989,150,100,300,200,2,2,300,200,True,True,False,0.8103703703703704,0.7409259259259259,149,59,31.36,1.25,1.65,29.71,33.45,18900,50,5400,2700,e5086fc1db7ca6bb,960ff2e6743af984,88c77e93aae99847,NVIDIA A100-SXM4-80GB,6e223e81e1ad,8dbf1f2f4e43febd,True,bfloat16,2.11.0+cu128,2026-08-18T04:02:50
eurosat|swin_b_imagenet_rgb3|5|123,eurosat,swin_b_imagenet_rgb3,swin_b,imagenet,rgb3,,swin_v2_b,core,False,5,123,0.8451851851851852,0.8372943923414183,0.8441658386225798,0.8277117537954249,0.9837833960884355,0.10600600628941148,0.6988888888888889,0.6827662911460548,0.6923844434497275,0.6651488456170056,0.9518202382086167,0.11026355675525136,150,100,300,200,2,2,300,200,True,True,False,0.7035185185185185,0.8385185185185186,9,49,125.39,4.72,1.59,123.8,132.38,18900,50,5400,2700,e5086fc1db7ca6bb,960ff2e6743af984,88c77e93aae99847,NVIDIA A100-SXM4-80GB,6e223e81e1ad,88912e7391ce9f7b,True,bfloat16,2.11.0+cu128,2026-08-18T04:05:03
