dataset,config_id,full_acc,target_acc,labels_per_class_to_95pct,reached_within_ladder,method,non_monotonic,curve
eurosat,resnet50_imagenet_ms9,0.9887407407407407,0.9393037037037036,70.3882534273891,True,interpolated,False,5:0.7686;10:0.8151;25:0.8916;50:0.9260;100:0.9530
eurosat,resnet50_imagenet_rgb3,0.9887407407407407,0.9393037037037036,84.10474301023059,True,interpolated,False,5:0.7369;10:0.8046;25:0.8706;50:0.9179;100:0.9464
eurosat,resnet50_satlas-ms_ms9,0.9914074074074074,0.941837037037037,65.28970989684437,True,interpolated,False,5:0.7956;10:0.8478;25:0.9087;50:0.9320;100:0.9576
eurosat,resnet50_satlas-rgb_rgb3,0.9848888888888888,0.9356444444444443,95.75194762832537,True,interpolated,False,5:0.7337;10:0.8112;25:0.8823;50:0.9081;100:0.9375
eurosat,resnet50_scratch_ms9,0.9752592592592592,0.9264962962962962,,False,not_reached,False,5:0.5244;10:0.5883;25:0.6856;50:0.7247;100:0.7689
eurosat,swin_b_imagenet_ms9,0.9895555555555557,0.9400777777777779,33.41206522561414,True,interpolated,False,5:0.8211;10:0.8747;25:0.9319;50:0.9514;100:0.9662
eurosat,swin_b_imagenet_rgb3,0.9915555555555556,0.9419777777777778,28.953046651416255,True,interpolated,False,5:0.8209;10:0.8759;25:0.9379;50:0.9573;100:0.9718
eurosat,swin_b_satlas-ms_ms9,0.9908148148148148,0.941274074074074,17.905697404818376,True,interpolated,False,5:0.8623;10:0.9147;25:0.9565;50:0.9613;100:0.9753
eurosat,swin_b_satlas-rgb_rgb3,0.989925925925926,0.9404296296296296,33.31494659585711,True,interpolated,False,5:0.8275;10:0.8814;25:0.9305;50:0.9544;100:0.9693
eurosat,swin_b_scratch_ms9,0.959925925925926,0.9119296296296296,,False,not_reached,False,5:0.5439;10:0.6169;25:0.7004;50:0.7152;100:0.7515
resisc45,resnet50_imagenet_rgb3,0.9539894179894179,0.906289947089947,,False,not_reached,False,5:0.6245;10:0.7106;25:0.7942;50:0.8474;100:0.8913
resisc45,resnet50_satlas-rgb_rgb3,0.9020952380952382,0.8569904761904762,,False,not_reached,False,5:0.4101;10:0.4952;25:0.6210;50:0.7021;100:0.7777
resisc45,resnet50_scratch_rgb3,0.647111111111111,0.6147555555555554,,False,not_reached,False,5:0.1980;10:0.2263;25:0.2875;50:0.3465;100:0.4268
resisc45,swin_b_imagenet_rgb3,0.9683386243386243,0.919921693121693,83.68676754055392,True,interpolated,False,5:0.6837;10:0.7812;25:0.8571;50:0.8979;100:0.9275
resisc45,swin_b_satlas-aerial_rgb3,0.970074074074074,0.9215703703703703,89.85915043355926,True,interpolated,False,5:0.6779;10:0.7622;25:0.8422;50:0.8905;100:0.9272
resisc45,swin_b_satlas-rgb_rgb3,0.9485291005291006,0.9011026455026455,,False,not_reached,False,5:0.5227;10:0.6276;25:0.7428;50:0.8257;100:0.8795
resisc45,swin_b_scratch_rgb3,0.5933121693121693,0.5636465608465608,,False,not_reached,False,5:0.2088;10:0.2275;25:0.2676;50:0.3026;100:0.3614
