dataset,k_shot,stage,seed,config_a,config_b,p_raw,n_discordant,b_only,c_only,exact_used,n_err_a,n_err_b,n_err_both,jaccard,gpu_mismatch,p_holm,significant_holm_05
eurosat,5,stage2,42,resnet50_imagenet_ms9,resnet50_imagenet_rgb3,0.8752340238797087,649,327,322,False,625,630,303,0.3182773109243697,False,1.0,False
eurosat,5,stage2,42,resnet50_imagenet_ms9,resnet50_satlas-ms_ms9,1.840992782523665e-10,638,238,400,False,625,463,225,0.2607184241019699,False,3.866084843299697e-09,True
eurosat,5,stage2,42,resnet50_imagenet_ms9,resnet50_satlas-rgb_rgb3,0.5818617484988735,742,379,363,False,625,641,262,0.26095617529880477,False,1.0,False
eurosat,5,stage2,42,resnet50_imagenet_ms9,resnet50_scratch_ms9,2.9031251324943522e-98,1057,871,186,False,625,1310,439,0.2934491978609626,False,1.0160937963730233e-96,True
eurosat,5,stage2,42,resnet50_imagenet_ms9,swin_b_imagenet_ms9,1.784722626478724e-08,700,275,425,False,625,475,200,0.2222222222222222,False,2.8555562023659585e-07,True
eurosat,5,stage2,42,resnet50_imagenet_ms9,swin_b_imagenet_rgb3,2.3695466675771754e-08,647,252,395,False,625,482,230,0.26225769669327254,False,3.554320001365763e-07,True
eurosat,5,stage2,42,resnet50_imagenet_ms9,swin_b_satlas-ms_ms9,2.886434360256424e-19,640,206,434,False,625,397,191,0.22984356197352587,False,7.793372772692345e-18,True
eurosat,5,stage2,42,resnet50_imagenet_ms9,swin_b_satlas-rgb_rgb3,7.6708446074452e-18,696,234,462,False,625,397,163,0.18975552968568102,False,1.9177111518613e-16,True
eurosat,5,stage2,42,resnet50_imagenet_ms9,swin_b_scratch_ms9,5.298936726681545e-76,1104,859,245,False,625,1239,380,0.2560646900269542,False,1.6956597525380943e-74,True
eurosat,5,stage2,42,resnet50_imagenet_rgb3,resnet50_satlas-ms_ms9,1.608777728366919e-11,607,220,387,False,630,463,243,0.2858823529411765,False,3.5393110024072215e-10,True
eurosat,5,stage2,42,resnet50_imagenet_rgb3,resnet50_satlas-rgb_rgb3,0.6977438558393427,663,337,326,False,630,641,304,0.31437435367114785,False,1.0,False
eurosat,5,stage2,42,resnet50_imagenet_rgb3,resnet50_scratch_ms9,7.02074263824943e-89,1154,917,237,False,630,1310,393,0.2540400775694893,False,2.316845070622312e-87,True
eurosat,5,stage2,42,resnet50_imagenet_rgb3,swin_b_imagenet_ms9,1.0689053995390274e-08,725,285,440,False,630,475,190,0.20765027322404372,False,1.8171391792163466e-07,True
eurosat,5,stage2,42,resnet50_imagenet_rgb3,swin_b_imagenet_rgb3,5.8923114353774245e-09,638,245,393,False,630,482,237,0.27085714285714285,False,1.0606160583679364e-07,True
eurosat,5,stage2,42,resnet50_imagenet_rgb3,swin_b_satlas-ms_ms9,2.3088541155151417e-17,749,258,491,False,630,397,139,0.15653153153153154,False,5.54124987723634e-16,True
eurosat,5,stage2,42,resnet50_imagenet_rgb3,swin_b_satlas-rgb_rgb3,1.8870642728318845e-21,595,181,414,False,630,397,216,0.26633785450061653,False,5.2837799639292764e-20,True
eurosat,5,stage2,42,resnet50_imagenet_rgb3,swin_b_scratch_ms9,1.0674238481636151e-69,1187,898,289,False,630,1239,341,0.2231675392670157,False,3.2022715444908452e-68,True
eurosat,5,stage2,42,resnet50_satlas-ms_ms9,resnet50_satlas-rgb_rgb3,6.472799948493267e-13,606,392,214,False,463,641,249,0.2912280701754386,False,1.4887439881534513e-11,True
eurosat,5,stage2,42,resnet50_satlas-ms_ms9,resnet50_scratch_ms9,1.265723010913321e-142,1107,977,130,False,463,1310,333,0.23125,False,5.316036645835948e-141,True
eurosat,5,stage2,42,resnet50_satlas-ms_ms9,swin_b_imagenet_ms9,0.6685241388865244,660,336,324,False,463,475,139,0.1739674593241552,False,1.0,False
eurosat,5,stage2,42,resnet50_satlas-ms_ms9,swin_b_imagenet_rgb3,0.4559792828722836,583,301,282,False,463,482,181,0.2369109947643979,False,1.0,False
eurosat,5,stage2,42,resnet50_satlas-ms_ms9,swin_b_satlas-ms_ms9,0.004910835465681686,534,234,300,False,463,397,163,0.23385939741750358,False,0.04751434477229201,True
eurosat,5,stage2,42,resnet50_satlas-ms_ms9,swin_b_satlas-rgb_rgb3,0.004751434477229201,530,232,298,False,463,397,165,0.23741007194244604,False,0.04751434477229201,True
eurosat,5,stage2,42,resnet50_satlas-ms_ms9,swin_b_scratch_ms9,2.0594581553818765e-121,1094,935,159,False,463,1239,304,0.21745350500715308,False,7.82594099045113e-120,True
eurosat,5,stage2,42,resnet50_satlas-rgb_rgb3,resnet50_scratch_ms9,3.885475138774005e-90,1101,885,216,False,641,1310,425,0.27850589777195284,False,1.3210615471831618e-88,True
eurosat,5,stage2,42,resnet50_satlas-rgb_rgb3,swin_b_imagenet_ms9,3.626478286648747e-09,782,308,474,False,641,475,167,0.17597471022128555,False,6.890308744632619e-08,True
eurosat,5,stage2,42,resnet50_satlas-rgb_rgb3,swin_b_imagenet_rgb3,2.6712168167328782e-09,705,273,432,False,641,482,209,0.2286652078774617,False,5.3424336334657566e-08,True
eurosat,5,stage2,42,resnet50_satlas-rgb_rgb3,swin_b_satlas-ms_ms9,1.3325263240044275e-18,762,259,503,False,641,397,138,0.15333333333333332,False,3.4645684424115115e-17,True
eurosat,5,stage2,42,resnet50_satlas-rgb_rgb3,swin_b_satlas-rgb_rgb3,2.295357770721563e-22,624,190,434,False,641,397,207,0.2490974729241877,False,6.6565375350925324e-21,True
eurosat,5,stage2,42,resnet50_satlas-rgb_rgb3,swin_b_scratch_ms9,2.6553401958942567e-71,1118,858,260,False,641,1239,381,0.2541694462975317,False,8.231554607272196e-70,True
eurosat,5,stage2,42,resnet50_scratch_ms9,swin_b_imagenet_ms9,4.1664319227708525e-126,1219,192,1027,False,1310,475,283,0.18841544607190414,False,1.666572769108341e-124,True
eurosat,5,stage2,42,resnet50_scratch_ms9,swin_b_imagenet_rgb3,1.5556976560982442e-124,1214,193,1021,False,1310,482,289,0.19228210246174318,False,6.067220858783152e-123,True
eurosat,5,stage2,42,resnet50_scratch_ms9,swin_b_satlas-ms_ms9,1.2412201822755282e-151,1209,148,1061,False,1310,397,249,0.17078189300411523,False,5.585490820239876e-150,True
eurosat,5,stage2,42,resnet50_scratch_ms9,swin_b_satlas-rgb_rgb3,1.8336828776105957e-145,1261,174,1087,False,1310,397,223,0.15026954177897575,False,7.884836373725562e-144,True
eurosat,5,stage2,42,resnet50_scratch_ms9,swin_b_scratch_ms9,0.0156632799598462,839,384,455,False,1310,1239,855,0.5047225501770957,False,0.1253062396787696,False
eurosat,5,stage2,42,swin_b_imagenet_ms9,swin_b_imagenet_rgb3,0.8103302566044083,625,316,309,False,475,482,166,0.20986093552465235,False,1.0,False
eurosat,5,stage2,42,swin_b_imagenet_ms9,swin_b_satlas-ms_ms9,0.0013350666425591135,576,249,327,False,475,397,148,0.20441988950276244,False,0.014685733068150249,True
eurosat,5,stage2,42,swin_b_imagenet_ms9,swin_b_satlas-rgb_rgb3,0.0008618835931700395,534,228,306,False,475,397,169,0.24039829302987198,False,0.010342603118040474,True
eurosat,5,stage2,42,swin_b_imagenet_ms9,swin_b_scratch_ms9,2.2150585729670176e-118,1088,926,162,False,475,1239,313,0.22341184867951464,False,8.195716719977965e-117,True
eurosat,5,stage2,42,swin_b_imagenet_rgb3,swin_b_satlas-ms_ms9,0.0003455450175697628,551,233,318,False,482,397,164,0.22937062937062938,False,0.004837630245976679,True
