dataset,config_id,k_shot,seed,stage,class_index,class_name,f1
eurosat,resnet50_satlas-ms_ms9,5,42,stage1,0,AnnualCrop,0.7376311844077961
eurosat,resnet50_satlas-ms_ms9,5,42,stage1,1,Forest,0.8303715670436187
eurosat,resnet50_satlas-ms_ms9,5,42,stage1,2,HerbaceousVegetation,0.6655574043261231
eurosat,resnet50_satlas-ms_ms9,5,42,stage1,3,Highway,0.3444730077120823
eurosat,resnet50_satlas-ms_ms9,5,42,stage1,4,Industrial,0.7631578947368421
eurosat,resnet50_satlas-ms_ms9,5,42,stage1,5,Pasture,0.6238532110091743
eurosat,resnet50_satlas-ms_ms9,5,42,stage1,6,PermanentCrop,0.5306122448979592
eurosat,resnet50_satlas-ms_ms9,5,42,stage1,7,Residential,0.8027444253859348
eurosat,resnet50_satlas-ms_ms9,5,42,stage1,8,River,0.6434426229508197
eurosat,resnet50_satlas-ms_ms9,5,42,stage1,9,SeaLake,0.9915966386554622
eurosat,resnet50_satlas-ms_ms9,5,42,stage2,0,AnnualCrop,0.8490284005979073
eurosat,resnet50_satlas-ms_ms9,5,42,stage2,1,Forest,0.9257950530035336
eurosat,resnet50_satlas-ms_ms9,5,42,stage2,2,HerbaceousVegetation,0.8105436573311368
eurosat,resnet50_satlas-ms_ms9,5,42,stage2,3,Highway,0.6796536796536796
eurosat,resnet50_satlas-ms_ms9,5,42,stage2,4,Industrial,0.8643410852713178
eurosat,resnet50_satlas-ms_ms9,5,42,stage2,5,Pasture,0.8261964735516373
eurosat,resnet50_satlas-ms_ms9,5,42,stage2,6,PermanentCrop,0.6905263157894737
eurosat,resnet50_satlas-ms_ms9,5,42,stage2,7,Residential,0.8859934853420195
eurosat,resnet50_satlas-ms_ms9,5,42,stage2,8,River,0.724
eurosat,resnet50_satlas-ms_ms9,5,42,stage2,9,SeaLake,0.9562289562289562
eurosat,resnet50_satlas-ms_ms9,10,42,stage1,0,AnnualCrop,0.7376543209876543
eurosat,resnet50_satlas-ms_ms9,10,42,stage1,1,Forest,0.8394648829431438
eurosat,resnet50_satlas-ms_ms9,10,42,stage1,2,HerbaceousVegetation,0.6723259762308998
eurosat,resnet50_satlas-ms_ms9,10,42,stage1,3,Highway,0.46255506607929514
eurosat,resnet50_satlas-ms_ms9,10,42,stage1,4,Industrial,0.86328125
eurosat,resnet50_satlas-ms_ms9,10,42,stage1,5,Pasture,0.7073170731707317
eurosat,resnet50_satlas-ms_ms9,10,42,stage1,6,PermanentCrop,0.5478841870824054
eurosat,resnet50_satlas-ms_ms9,10,42,stage1,7,Residential,0.9067524115755627
eurosat,resnet50_satlas-ms_ms9,10,42,stage1,8,River,0.6757990867579908
eurosat,resnet50_satlas-ms_ms9,10,42,stage1,9,SeaLake,0.9933110367892977
eurosat,resnet50_satlas-ms_ms9,10,42,stage2,0,AnnualCrop,0.8322981366459627
eurosat,resnet50_satlas-ms_ms9,10,42,stage2,1,Forest,0.937394247038917
eurosat,resnet50_satlas-ms_ms9,10,42,stage2,2,HerbaceousVegetation,0.762589928057554
eurosat,resnet50_satlas-ms_ms9,10,42,stage2,3,Highway,0.6997840172786177
eurosat,resnet50_satlas-ms_ms9,10,42,stage2,4,Industrial,0.8857142857142857
eurosat,resnet50_satlas-ms_ms9,10,42,stage2,5,Pasture,0.8604651162790697
eurosat,resnet50_satlas-ms_ms9,10,42,stage2,6,PermanentCrop,0.7429718875502008
eurosat,resnet50_satlas-ms_ms9,10,42,stage2,7,Residential,0.9473684210526315
eurosat,resnet50_satlas-ms_ms9,10,42,stage2,8,River,0.7794117647058824
eurosat,resnet50_satlas-ms_ms9,10,42,stage2,9,SeaLake,0.9680672268907563
eurosat,swin_b_imagenet_rgb3,5,42,stage1,0,AnnualCrop,0.7987897125567323
eurosat,swin_b_imagenet_rgb3,5,42,stage1,1,Forest,0.8374816983894583
eurosat,swin_b_imagenet_rgb3,5,42,stage1,2,HerbaceousVegetation,0.8237129485179407
eurosat,swin_b_imagenet_rgb3,5,42,stage1,3,Highway,0.5067264573991032
eurosat,swin_b_imagenet_rgb3,5,42,stage1,4,Industrial,0.8549019607843137
eurosat,swin_b_imagenet_rgb3,5,42,stage1,5,Pasture,0.7006369426751592
eurosat,swin_b_imagenet_rgb3,5,42,stage1,6,PermanentCrop,0.48314606741573035
eurosat,swin_b_imagenet_rgb3,5,42,stage1,7,Residential,0.7246963562753036
eurosat,swin_b_imagenet_rgb3,5,42,stage1,8,River,0.46078431372549017
eurosat,swin_b_imagenet_rgb3,5,42,stage1,9,SeaLake,0.8913043478260869
eurosat,swin_b_imagenet_rgb3,5,42,stage2,0,AnnualCrop,0.7921092564491654
eurosat,swin_b_imagenet_rgb3,5,42,stage2,1,Forest,0.941747572815534
eurosat,swin_b_imagenet_rgb3,5,42,stage2,2,HerbaceousVegetation,0.8333333333333334
eurosat,swin_b_imagenet_rgb3,5,42,stage2,3,Highway,0.696969696969697
eurosat,swin_b_imagenet_rgb3,5,42,stage2,4,Industrial,0.8671875
eurosat,swin_b_imagenet_rgb3,5,42,stage2,5,Pasture,0.85
eurosat,swin_b_imagenet_rgb3,5,42,stage2,6,PermanentCrop,0.5817490494296578
eurosat,swin_b_imagenet_rgb3,5,42,stage2,7,Residential,0.9306260575296108
eurosat,swin_b_imagenet_rgb3,5,42,stage2,8,River,0.725897920604915
eurosat,swin_b_imagenet_rgb3,5,42,stage2,9,SeaLake,0.9345132743362832
eurosat,swin_b_imagenet_rgb3,10,42,stage1,0,AnnualCrop,0.8187311178247734
eurosat,swin_b_imagenet_rgb3,10,42,stage1,1,Forest,0.8795180722891566
eurosat,swin_b_imagenet_rgb3,10,42,stage1,2,HerbaceousVegetation,0.834375
eurosat,swin_b_imagenet_rgb3,10,42,stage1,3,Highway,0.6780383795309168
eurosat,swin_b_imagenet_rgb3,10,42,stage1,4,Industrial,0.8916155419222904
eurosat,swin_b_imagenet_rgb3,10,42,stage1,5,Pasture,0.8061224489795918
eurosat,swin_b_imagenet_rgb3,10,42,stage1,6,PermanentCrop,0.6638830897703549
eurosat,swin_b_imagenet_rgb3,10,42,stage1,7,Residential,0.8756388415672913
eurosat,swin_b_imagenet_rgb3,10,42,stage1,8,River,0.6541176470588236
eurosat,swin_b_imagenet_rgb3,10,42,stage1,9,SeaLake,0.897133220910624
eurosat,swin_b_imagenet_rgb3,10,42,stage2,0,AnnualCrop,0.875
eurosat,swin_b_imagenet_rgb3,10,42,stage2,1,Forest,0.9283489096573209
eurosat,swin_b_imagenet_rgb3,10,42,stage2,2,HerbaceousVegetation,0.907051282051282
eurosat,swin_b_imagenet_rgb3,10,42,stage2,3,Highway,0.8197424892703863
eurosat,swin_b_imagenet_rgb3,10,42,stage2,4,Industrial,0.8804347826086957
eurosat,swin_b_imagenet_rgb3,10,42,stage2,5,Pasture,0.9246753246753247
eurosat,swin_b_imagenet_rgb3,10,42,stage2,6,PermanentCrop,0.75
eurosat,swin_b_imagenet_rgb3,10,42,stage2,7,Residential,0.9534510433386838
eurosat,swin_b_imagenet_rgb3,10,42,stage2,8,River,0.7816593886462883
eurosat,swin_b_imagenet_rgb3,10,42,stage2,9,SeaLake,0.9534883720930233
eurosat,resnet50_satlas-ms_ms9,5,123,stage1,0,AnnualCrop,0.7992565055762082
eurosat,resnet50_satlas-ms_ms9,5,123,stage1,1,Forest,0.7757575757575758
eurosat,resnet50_satlas-ms_ms9,5,123,stage1,2,HerbaceousVegetation,0.6024518388791593
eurosat,resnet50_satlas-ms_ms9,5,123,stage1,3,Highway,0.3687150837988827
eurosat,resnet50_satlas-ms_ms9,5,123,stage1,4,Industrial,0.8435643564356435
eurosat,resnet50_satlas-ms_ms9,5,123,stage1,5,Pasture,0.6054590570719603
eurosat,resnet50_satlas-ms_ms9,5,123,stage1,6,PermanentCrop,0.5727069351230425
eurosat,resnet50_satlas-ms_ms9,5,123,stage1,7,Residential,0.8685015290519877
eurosat,resnet50_satlas-ms_ms9,5,123,stage1,8,River,0.6748466257668712
eurosat,resnet50_satlas-ms_ms9,5,123,stage1,9,SeaLake,0.9899328859060402
eurosat,resnet50_satlas-ms_ms9,5,123,stage2,0,AnnualCrop,0.8653198653198653
eurosat,resnet50_satlas-ms_ms9,5,123,stage2,1,Forest,0.9499192245557351
eurosat,resnet50_satlas-ms_ms9,5,123,stage2,2,HerbaceousVegetation,0.7727272727272727
eurosat,resnet50_satlas-ms_ms9,5,123,stage2,3,Highway,0.6135265700483091
eurosat,resnet50_satlas-ms_ms9,5,123,stage2,4,Industrial,0.8467741935483871
eurosat,resnet50_satlas-ms_ms9,5,123,stage2,5,Pasture,0.7130801687763713
eurosat,resnet50_satlas-ms_ms9,5,123,stage2,6,PermanentCrop,0.5572916666666666
eurosat,resnet50_satlas-ms_ms9,5,123,stage2,7,Residential,0.9029126213592233
eurosat,resnet50_satlas-ms_ms9,5,123,stage2,8,River,0.746615087040619
eurosat,resnet50_satlas-ms_ms9,5,123,stage2,9,SeaLake,0.9586206896551724
eurosat,swin_b_satlas-ms_ms9,5,42,stage1,0,AnnualCrop,0.821173104434907
eurosat,swin_b_satlas-ms_ms9,5,42,stage1,1,Forest,0.9122807017543859
eurosat,swin_b_satlas-ms_ms9,5,42,stage1,2,HerbaceousVegetation,0.5732758620689655
eurosat,swin_b_satlas-ms_ms9,5,42,stage1,3,Highway,0.7016706443914081
eurosat,swin_b_satlas-ms_ms9,5,42,stage1,4,Industrial,0.8326848249027238
eurosat,swin_b_satlas-ms_ms9,5,42,stage1,5,Pasture,0.6371681415929203
eurosat,swin_b_satlas-ms_ms9,5,42,stage1,6,PermanentCrop,0.5793650793650794
eurosat,swin_b_satlas-ms_ms9,5,42,stage1,7,Residential,0.9038461538461539
eurosat,swin_b_satlas-ms_ms9,5,42,stage1,8,River,0.8540772532188842
eurosat,swin_b_satlas-ms_ms9,5,42,stage1,9,SeaLake,0.9508716323296355
eurosat,swin_b_satlas-ms_ms9,5,42,stage2,0,AnnualCrop,0.8
eurosat,swin_b_satlas-ms_ms9,5,42,stage2,1,Forest,0.9262166405023547
eurosat,swin_b_satlas-ms_ms9,5,42,stage2,2,HerbaceousVegetation,0.7459677419354839
eurosat,swin_b_satlas-ms_ms9,5,42,stage2,3,Highway,0.8619402985074627
eurosat,swin_b_satlas-ms_ms9,5,42,stage2,4,Industrial,0.8801431127012522
eurosat,swin_b_satlas-ms_ms9,5,42,stage2,5,Pasture,0.7688787185354691
eurosat,swin_b_satlas-ms_ms9,5,42,stage2,6,PermanentCrop,0.634020618556701
eurosat,swin_b_satlas-ms_ms9,5,42,stage2,7,Residential,0.9446366782006921
eurosat,swin_b_satlas-ms_ms9,5,42,stage2,8,River,0.8843283582089553
eurosat,swin_b_satlas-ms_ms9,5,42,stage2,9,SeaLake,0.9761904761904762
eurosat,swin_b_satlas-ms_ms9,5,123,stage1,0,AnnualCrop,0.8472222222222222
eurosat,swin_b_satlas-ms_ms9,5,123,stage1,1,Forest,0.779874213836478
eurosat,swin_b_satlas-ms_ms9,5,123,stage1,2,HerbaceousVegetation,0.6161790017211703
eurosat,swin_b_satlas-ms_ms9,5,123,stage1,3,Highway,0.6446700507614214
