run_key,dataset,config_id,backbone,pretraining,channel_mode,satlas_variant,swin_arch,tier,augment,k_shot,seed,test_acc,macro_f1,weighted_f1,kappa,roc_auc_ovr,ece,frozen_acc,frozen_macro_f1,frozen_weighted_f1,frozen_kappa,frozen_roc_auc_ovr,frozen_ece,epochs_stage1,epochs_stage2,steps_stage1,steps_stage2,steps_per_epoch_s1,steps_per_epoch_s2,min_steps_stage1,min_steps_stage2,floor_engaged_s1,floor_engaged_s2,drop_last,best_val_acc_stage1,best_val_acc_stage2,best_epoch_stage1,best_epoch_stage2,train_seconds,eval_seconds,stage1_train_seconds,stage2_train_seconds,total_seconds,n_train_pool,n_train_used,n_val,n_test,split_hash_train,split_hash_val,split_hash_test,gpu_name,protocol_fp,backbone_fp,feat_cache_hit,amp_dtype,torch_version,timestamp
resisc45|resnet50_satlas-rgb_rgb3|5|42,resisc45,resnet50_satlas-rgb_rgb3,resnet50,satlas,rgb3,rgb,,core,False,5,42,0.40613756613756613,0.40124718702492645,0.4012471870249264,0.3926406926406927,0.9025800865800867,0.37020252311828905,0.37396825396825395,0.3691587274379398,0.3691587274379398,0.3597402597402597,0.9010847706085803,0.27447863526760585,43,29,301,203,7,7,300,200,True,True,True,0.36698412698412697,0.4035978835978836,23,23,58.25,2.81,20.1,38.15,67.16,22050,225,4725,4725,ecd123415640404b,83effe21d6483a43,88f3492c76be44b5,NVIDIA A100-SXM4-80GB,6e223e81e1ad,86f6e7d57f4b9cb1,False,bfloat16,2.11.0+cu128,2026-08-18T09:43:25
resisc45|resnet50_satlas-rgb_rgb3|5|123,resisc45,resnet50_satlas-rgb_rgb3,resnet50,satlas,rgb3,rgb,,core,False,5,123,0.4167195767195767,0.40275416336649644,0.4027541633664965,0.4034632034632034,0.9055274513845942,0.34797431048419736,0.3748148148148148,0.36875622637805094,0.36875622637805083,0.3606060606060606,0.9036149705673515,0.27643868379965036,43,29,301,203,7,7,300,200,True,True,True,0.3676190476190476,0.4033862433862434,41,14,39.25,2.91,1.67,37.58,45.85,22050,225,4725,4725,ecd123415640404b,83effe21d6483a43,88f3492c76be44b5,NVIDIA A100-SXM4-80GB,6e223e81e1ad,86f6e7d57f4b9cb1,True,bfloat16,2.11.0+cu128,2026-08-18T09:44:11
resisc45|resnet50_satlas-rgb_rgb3|5|2024,resisc45,resnet50_satlas-rgb_rgb3,resnet50,satlas,rgb3,rgb,,core,False,5,2024,0.43555555555555553,0.42508923837837886,0.4250892383783788,0.42272727272727273,0.9145450651641128,0.33296848594826994,0.3961904761904762,0.3909887709661085,0.39098877096610846,0.3824675324675325,0.902832130832131,0.2547742174084855,43,29,301,203,7,7,300,200,True,True,True,0.4,0.43386243386243384,35,11,38.84,3.02,1.73,37.11,45.92,22050,225,4725,4725,ecd123415640404b,83effe21d6483a43,88f3492c76be44b5,NVIDIA A100-SXM4-80GB,6e223e81e1ad,86f6e7d57f4b9cb1,True,bfloat16,2.11.0+cu128,2026-08-18T09:44:58
resisc45|resnet50_satlas-rgb_rgb3|5|7,resisc45,resnet50_satlas-rgb_rgb3,resnet50,satlas,rgb3,rgb,,core,False,5,7,0.3904761904761905,0.38591724051150345,0.3859172405115035,0.37662337662337664,0.9006886552600839,0.3873923029155327,0.36423280423280424,0.35807204155033534,0.35807204155033534,0.34978354978354975,0.8959003641860784,0.2954834802519708,43,29,301,203,7,7,300,200,True,True,True,0.36804232804232806,0.397037037037037,23,17,39.76,2.94,1.68,38.08,46.31,22050,225,4725,4725,ecd123415640404b,83effe21d6483a43,88f3492c76be44b5,NVIDIA A100-SXM4-80GB,6e223e81e1ad,86f6e7d57f4b9cb1,True,bfloat16,2.11.0+cu128,2026-08-18T09:45:44
resisc45|resnet50_satlas-rgb_rgb3|5|999,resisc45,resnet50_satlas-rgb_rgb3,resnet50,satlas,rgb3,rgb,,core,False,5,999,0.4016931216931217,0.390393660621093,0.39039366062109293,0.38809523809523805,0.9033658123181932,0.358075115866762,0.36232804232804233,0.35819778424316656,0.3581977842431665,0.34783549783549783,0.8890441833298977,0.2862209064115292,43,29,301,203,7,7,300,200,True,True,True,0.353015873015873,0.38222222222222224,23,28,39.02,2.99,1.71,37.3,45.51,22050,225,4725,4725,ecd123415640404b,83effe21d6483a43,88f3492c76be44b5,NVIDIA A100-SXM4-80GB,6e223e81e1ad,86f6e7d57f4b9cb1,True,bfloat16,2.11.0+cu128,2026-08-18T09:46:30
resisc45|swin_b_satlas-rgb_rgb3|5|42,resisc45,swin_b_satlas-rgb_rgb3,swin_b,satlas,rgb3,rgb,swin_v2_b,core,False,5,42,0.539047619047619,0.5329341718996204,0.5329341718996204,0.5285714285714286,0.9500291119814929,0.3261635164955936,0.4311111111111111,0.4324641057372428,0.4324641057372429,0.4181818181818182,0.9310238438809868,0.18304058342068283,43,29,301,203,7,7,300,200,True,True,True,0.43492063492063493,0.5307936507936508,35,28,174.49,8.07,57.17,117.32,190.97,22050,225,4725,4725,ecd123415640404b,83effe21d6483a43,88f3492c76be44b5,NVIDIA A100-SXM4-80GB,6e223e81e1ad,8eb346c9c99a4bf3,False,bfloat16,2.11.0+cu128,2026-08-18T09:49:42
resisc45|swin_b_satlas-rgb_rgb3|5|123,resisc45,swin_b_satlas-rgb_rgb3,swin_b,satlas,rgb3,rgb,swin_v2_b,core,False,5,123,0.5307936507936508,0.5291358104983138,0.5291358104983137,0.5201298701298701,0.9513367003367006,0.32953581437232005,0.4541798941798942,0.45234725611119114,0.45234725611119125,0.4417748917748918,0.931970544446735,0.16477360202837243,43,29,301,203,7,7,300,200,True,True,True,0.43767195767195766,0.5216931216931217,35,28,121.09,8.37,1.49,119.6,137.38,22050,225,4725,4725,ecd123415640404b,83effe21d6483a43,88f3492c76be44b5,NVIDIA A100-SXM4-80GB,6e223e81e1ad,8eb346c9c99a4bf3,True,bfloat16,2.11.0+cu128,2026-08-18T09:52:00
resisc45|swin_b_satlas-rgb_rgb3|5|2024,resisc45,swin_b_satlas-rgb_rgb3,swin_b,satlas,rgb3,rgb,swin_v2_b,core,False,5,2024,0.5104761904761905,0.5068895463193044,0.5068895463193045,0.4993506493506493,0.9435601594173023,0.3575323379323596,0.43915343915343913,0.4368816346575016,0.43688163465750157,0.42640692640692646,0.92014672805149,0.19914496613558008,43,29,301,203,7,7,300,200,True,True,True,0.4486772486772487,0.5261375661375661,38,26,120.02,8.28,1.51,118.5,136.75,22050,225,4725,4725,ecd123415640404b,83effe21d6483a43,88f3492c76be44b5,NVIDIA A100-SXM4-80GB,6e223e81e1ad,8eb346c9c99a4bf3,True,bfloat16,2.11.0+cu128,2026-08-18T09:54:17
resisc45|swin_b_satlas-rgb_rgb3|5|7,resisc45,swin_b_satlas-rgb_rgb3,swin_b,satlas,rgb3,rgb,swin_v2_b,core,False,5,7,0.5183068783068783,0.5120164163514314,0.5120164163514314,0.5073593073593073,0.947771730914588,0.3517313960115746,0.44423280423280426,0.44295038962669225,0.4429503896266922,0.43160173160173165,0.9295661833757072,0.17809871256351473,43,29,301,203,7,7,300,200,True,True,True,0.4228571428571429,0.5051851851851852,35,26,119.58,8.34,1.51,118.07,134.59,22050,225,4725,4725,ecd123415640404b,83effe21d6483a43,88f3492c76be44b5,NVIDIA A100-SXM4-80GB,6e223e81e1ad,8eb346c9c99a4bf3,True,bfloat16,2.11.0+cu128,2026-08-18T09:56:32
resisc45|swin_b_satlas-rgb_rgb3|5|999,resisc45,swin_b_satlas-rgb_rgb3,swin_b,satlas,rgb3,rgb,swin_v2_b,core,False,5,999,0.5147089947089947,0.5092360834520963,0.5092360834520963,0.5036796536796537,0.94342694518885,0.3407089023741464,0.4328042328042328,0.4331212938718862,0.4331212938718862,0.4199134199134199,0.9262210769829816,0.17451639641214295,43,29,301,203,7,7,300,200,True,True,True,0.42243386243386244,0.49777777777777776,26,26,119.91,8.29,1.49,118.42,134.93,22050,225,4725,4725,ecd123415640404b,83effe21d6483a43,88f3492c76be44b5,NVIDIA A100-SXM4-80GB,6e223e81e1ad,8eb346c9c99a4bf3,True,bfloat16,2.11.0+cu128,2026-08-18T09:58:47
