dataset,backbone,channel_mode,satlas_config,imagenet_config,k_shot,n_seeds_satlas,n_seeds_imagenet,satlas_acc,satlas_std,imagenet_acc,imagenet_std,delta,gpu_mismatch,gpus
eurosat,resnet50,ms9,resnet50_satlas-ms_ms9,resnet50_imagenet_ms9,5,5,5,0.7955555555555555,0.033287004842100544,0.7685925925925925,0.01483424651556321,0.026962962962962966,False,NVIDIA A100-SXM4-80GB
eurosat,resnet50,ms9,resnet50_satlas-ms_ms9,resnet50_imagenet_ms9,10,5,5,0.8477777777777777,0.013835700625446543,0.8151111111111111,0.020650265628014197,0.03266666666666662,False,NVIDIA A100-SXM4-80GB
eurosat,resnet50,ms9,resnet50_satlas-ms_ms9,resnet50_imagenet_ms9,25,5,5,0.9087407407407408,0.006786980192778999,0.8915555555555554,0.006826278602653318,0.017185185185185414,False,NVIDIA A100-SXM4-80GB
eurosat,resnet50,ms9,resnet50_satlas-ms_ms9,resnet50_imagenet_ms9,50,5,5,0.932,0.006961583787761062,0.9259999999999999,0.0030248173317178276,0.006000000000000116,False,NVIDIA A100-SXM4-80GB
eurosat,resnet50,ms9,resnet50_satlas-ms_ms9,resnet50_imagenet_ms9,100,5,5,0.9575555555555557,0.006195267896327791,0.952962962962963,0.0030653602513419998,0.004592592592592704,False,NVIDIA A100-SXM4-80GB
eurosat,resnet50,ms9,resnet50_satlas-ms_ms9,resnet50_imagenet_ms9,full,5,5,0.9914074074074074,0.0006085806194502527,0.9887407407407407,0.0011886523359911872,0.002666666666666706,False,NVIDIA A100-SXM4-80GB
eurosat,resnet50,rgb3,resnet50_satlas-rgb_rgb3,resnet50_imagenet_rgb3,5,5,5,0.7337037037037037,0.02047448142383002,0.7368888888888889,0.024276358124438843,-0.00318518518518518,False,NVIDIA A100-SXM4-80GB
eurosat,resnet50,rgb3,resnet50_satlas-rgb_rgb3,resnet50_imagenet_rgb3,10,5,5,0.8111851851851852,0.029970721881463276,0.8045925925925925,0.02308450510314957,0.006592592592592705,False,NVIDIA A100-SXM4-80GB
eurosat,resnet50,rgb3,resnet50_satlas-rgb_rgb3,resnet50_imagenet_rgb3,25,5,5,0.8822962962962964,0.007174103711290819,0.8705925925925925,0.01762200270752073,0.011703703703703883,False,NVIDIA A100-SXM4-80GB
eurosat,resnet50,rgb3,resnet50_satlas-rgb_rgb3,resnet50_imagenet_rgb3,50,5,5,0.908148148148148,0.0032814898419758634,0.9178518518518519,0.008632093115233849,-0.009703703703703881,False,NVIDIA A100-SXM4-80GB
eurosat,resnet50,rgb3,resnet50_satlas-rgb_rgb3,resnet50_imagenet_rgb3,100,5,5,0.9374814814814816,0.0048953380583034774,0.9464444444444444,0.004931631338038192,-0.00896296296296284,False,NVIDIA A100-SXM4-80GB
eurosat,resnet50,rgb3,resnet50_satlas-rgb_rgb3,resnet50_imagenet_rgb3,full,5,5,0.9848888888888888,0.0024201939633636256,0.9887407407407407,0.0016271024175176544,-0.003851851851851884,False,NVIDIA A100-SXM4-80GB
eurosat,swin_b,ms9,swin_b_satlas-ms_ms9,swin_b_imagenet_ms9,5,5,5,0.8622962962962962,0.014290250112762987,0.821111111111111,0.012524324754748814,0.041185185185185214,False,NVIDIA A100-SXM4-80GB
eurosat,swin_b,ms9,swin_b_satlas-ms_ms9,swin_b_imagenet_ms9,10,5,5,0.9146666666666666,0.005534528107412691,0.8746666666666666,0.025720882294513737,0.040000000000000036,False,NVIDIA A100-SXM4-80GB
eurosat,swin_b,ms9,swin_b_satlas-ms_ms9,swin_b_imagenet_ms9,25,5,5,0.9565185185185185,0.005590016576214991,0.931925925925926,0.006059829729552356,0.0245925925925925,False,NVIDIA A100-SXM4-80GB
eurosat,swin_b,ms9,swin_b_satlas-ms_ms9,swin_b_imagenet_ms9,50,5,5,0.9612592592592593,0.0015843888619413474,0.9514074074074074,0.00396659577347859,0.00985185185185189,False,NVIDIA A100-SXM4-80GB
eurosat,swin_b,ms9,swin_b_satlas-ms_ms9,swin_b_imagenet_ms9,100,5,5,0.9752592592592592,0.002085287149668031,0.9662222222222223,0.004085841591265673,0.009037037037036844,False,NVIDIA A100-SXM4-80GB
eurosat,swin_b,ms9,swin_b_satlas-ms_ms9,swin_b_imagenet_ms9,full,5,5,0.9908148148148148,0.0008842471397269277,0.9895555555555557,0.0017253058813113925,0.0012592592592590712,False,NVIDIA A100-SXM4-80GB
eurosat,swin_b,rgb3,swin_b_satlas-rgb_rgb3,swin_b_imagenet_rgb3,5,5,5,0.8274814814814814,0.02610178451766963,0.820888888888889,0.029950347570869874,0.006592592592592372,False,NVIDIA A100-SXM4-80GB
eurosat,swin_b,rgb3,swin_b_satlas-rgb_rgb3,swin_b_imagenet_rgb3,10,5,5,0.8814074074074074,0.017001573396082735,0.8758518518518518,0.01243198229621661,0.005555555555555647,False,NVIDIA A100-SXM4-80GB
eurosat,swin_b,rgb3,swin_b_satlas-rgb_rgb3,swin_b_imagenet_rgb3,25,5,5,0.9305185185185184,0.00875908307707866,0.9378518518518518,0.012234561672333413,-0.007333333333333414,False,NVIDIA A100-SXM4-80GB
eurosat,swin_b,rgb3,swin_b_satlas-rgb_rgb3,swin_b_imagenet_rgb3,50,5,5,0.9544444444444444,0.004588708034579212,0.9573333333333334,0.003243649488268342,-0.002888888888888941,False,NVIDIA A100-SXM4-80GB
eurosat,swin_b,rgb3,swin_b_satlas-rgb_rgb3,swin_b_imagenet_rgb3,100,5,5,0.9692592592592593,0.003494067085946862,0.9717777777777779,0.002405982484283185,-0.0025185185185185865,False,NVIDIA A100-SXM4-80GB
